Gene	TypeV	ZT
AT5G21010	Stable	ZT8
AT2G17670	Stable	ZT8
AT3G49725	Stable	ZT8
AT5G12890	Stable	ZT8
AT2G37890	Stable	ZT8
AT4G31248	Stable	ZT8
AT5G06780	Stable	ZT8
AT1G19680	Stable	ZT8
AT3G10730	Stable	ZT8
AT2G45950	Stable	ZT8
AT3G45620	Stable	ZT8
AT5G10600	Stable	ZT8
AT1G25290	Stable	ZT8
AT1G74700	Stable	ZT8
AT3G51350	Stable	ZT8
AT3G58520	Stable	ZT8
AT5G48340	Stable	ZT8
AT2G30100	Stable	ZT8
AT1G22940	Stable	ZT8
AT2G25010	Stable	ZT8
AT5G11890	Stable	ZT8
AT2G26830	Stable	ZT8
AT3G48120	Stable	ZT8
AT3G53030	Stable	ZT8
AT5G57210	Stable	ZT8
AT1G72470	Stable	ZT8
AT5G18970	Stable	ZT8
AT3G08505	Stable	ZT8
AT5G65120	Stable	ZT8
AT4G14145	Stable	ZT8
AT2G21150	Stable	ZT8
AT2G01060	Stable	ZT8
AT5G15740	Stable	ZT8
AT4G23730	Stable	ZT8
AT1G68070	Stable	ZT8
AT3G03860	Stable	ZT8
AT3G02950	Stable	ZT8
AT3G13050	Stable	ZT8
AT5G63520	Stable	ZT8
AT3G46830	Stable	ZT8
AT3G45040	Stable	ZT8
AT1G76185	Stable	ZT8
AT1G48550	Stable	ZT8
AT3G63530	Stable	ZT8
AT4G35050	Stable	ZT8
AT2G33320	Stable	ZT8
AT2G34200	Stable	ZT8
AT4G23530	Stable	ZT8
AT5G15170	Stable	ZT8
AT5G16370	Stable	ZT8
AT2G20495	Stable	ZT8
AT4G22150	Stable	ZT8
AT3G55740	Stable	ZT8
AT5G64470	Stable	ZT8
AT1G28250	Stable	ZT8
AT1G47310	Stable	ZT8
AT4G24760	Stable	ZT8
AT3G16200	Stable	ZT8
AT1G27690	Stable	ZT8
AT1G67190	Stable	ZT8
AT2G02810	Stable	ZT8
AT5G66450	Stable	ZT8
AT2G15790	Stable	ZT8
AT4G39640	Stable	ZT8
AT4G10925	Stable	ZT8
AT4G03510	Stable	ZT8
AT5G03320	Stable	ZT8
AT2G45330	Stable	ZT8
AT2G30150	Stable	ZT8
AT3G03490	Stable	ZT8
AT1G64990	Stable	ZT8
AT5G58720	Stable	ZT8
AT3G48070	Stable	ZT8
AT3G51100	Stable	ZT8
AT4G23840	Stable	ZT8
AT1G56350	Stable	ZT8
AT1G66660	Stable	ZT8
AT3G57120	Stable	ZT8
AT1G12390	Stable	ZT8
AT1G33260	Stable	ZT8
AT3G06430	Stable	ZT8
AT2G18520	Stable	ZT8
AT2G20410	Stable	ZT8
AT2G20440	Stable	ZT8
AT3G50650	Stable	ZT8
AT4G13345	Stable	ZT8
AT5G60870	Stable	ZT8
AT4G17960	Stable	ZT8
AT5G17240	Stable	ZT8
AT3G14910	Stable	ZT8
AT2G38580	Stable	ZT8
AT1G02370	Stable	ZT8
AT3G47630	Stable	ZT8
AT3G20410	Stable	ZT8
AT5G64730	Stable	ZT8
AT3G02740	Stable	ZT8
AT2G39840	Stable	ZT8
AT3G43230	Stable	ZT8
AT2G21950	Stable	ZT8
AT4G33060	Stable	ZT8
AT2G42780	Stable	ZT8
AT5G40250	Stable	ZT8
AT2G40480	Stable	ZT8
AT5G41810	Stable	ZT8
AT1G72330	Stable	ZT8
AT3G55450	Stable	ZT8
AT1G61040	Stable	ZT8
AT3G55350	Stable	ZT8
AT1G26090	Stable	ZT8
AT4G32120	Stable	ZT8
AT5G19070	Stable	ZT8
AT2G30780	Stable	ZT8
AT5G46920	Stable	ZT8
AT4G34540	Stable	ZT8
AT5G50230	Stable	ZT8
AT1G73440	Stable	ZT8
AT2G17570	Stable	ZT8
AT2G46200	Stable	ZT8
AT4G16480	Stable	ZT8
AT5G16720	Stable	ZT8
AT2G17787	Stable	ZT8
AT3G56450	Stable	ZT8
AT4G31980	Stable	ZT8
AT1G67690	Stable	ZT8
AT3G13620	Stable	ZT8
AT4G02410	Stable	ZT8
AT1G14770	Stable	ZT8
AT5G65450	Stable	ZT8
AT1G78540	Stable	ZT8
AT2G01330	Stable	ZT8
AT2G44600	Stable	ZT8
AT3G44820	Stable	ZT8
AT1G19480	Stable	ZT8
AT1G77290	Stable	ZT8
AT4G30340	Stable	ZT8
AT4G27680	Stable	ZT8
AT2G02730	Stable	ZT8
AT3G49050	Stable	ZT8
AT5G53970	Stable	ZT8
AT1G10310	Stable	ZT8
AT5G65830	Stable	ZT8
AT4G21540	Stable	ZT8
AT1G01910	Stable	ZT8
AT3G21750	Stable	ZT8
AT1G55150	Stable	ZT8
AT1G01010	Stable	ZT8
AT1G48040	Stable	ZT8
AT3G07550	Stable	ZT8
AT1G76380	Stable	ZT8
AT5G04490	Stable	ZT8
AT5G64630	Stable	ZT8
AT1G66840	Stable	ZT8
AT3G20270	Stable	ZT8
AT3G47700	Stable	ZT8
AT1G52155	Stable	ZT8
AT3G47940	Stable	ZT8
AT4G35110	Stable	ZT8
AT5G38590	Stable	ZT8
AT5G56780	Stable	ZT8
AT3G57910	Stable	ZT8
AT5G52545	Stable	ZT8
AT1G16590	Stable	ZT8
AT1G69670	Stable	ZT8
AT3G04950	Stable	ZT8
AT5G45420	Stable	ZT8
AT4G39540	Stable	ZT8
AT1G52260	Stable	ZT8
AT5G62070	Stable	ZT8
AT4G22190	Stable	ZT8
AT3G04500	Stable	ZT8
AT3G49850	Stable	ZT8
AT4G14930	Stable	ZT8
AT1G31360	Stable	ZT8
AT5G16840	Stable	ZT8
AT3G08600	Stable	ZT8
AT1G17820	Stable	ZT8
AT3G53490	Stable	ZT8
AT3G02750	Stable	ZT8
AT1G54060	Stable	ZT8
AT5G41940	Stable	ZT8
AT5G10270	Stable	ZT8
AT5G19500	Stable	ZT8
AT5G65960	Stable	ZT8
AT1G08250	Stable	ZT8
AT1G05055	Stable	ZT8
AT1G76260	Stable	ZT8
AT3G12950	Stable	ZT8
AT5G27710	Stable	ZT8
AT5G05820	Stable	ZT8
AT5G17210	Stable	ZT8
AT2G03430	Stable	ZT8
