Gene	effect.size_ZT16	p.value_ZT16	q.value_ZT16	Mean_ZT16	CV2_ZT16	TechNoise_ZT16	BioVar_ZT16
AT1G23720	0.285526501	3.00E-08	1.58E-06	14.21428571	0.349637635	0.064111134	2.447213653
AT5G43180	0.283850625	8.22E-10	5.31E-08	17.64285714	0.33639173	0.052541106	2.678623769
AT1G14960	0.283322433	1.55E-11	1.30E-09	21.64285714	0.326998275	0.043675842	2.904375596
AT1G13590	0.281336798	3.18E-10	2.17E-08	18.78571429	0.330959734	0.049622936	2.737576687
AT4G12510	0.280207597	0	0	142.2142857	0.290732047	0.010524451	4.787873284
AT3G01550	0.279099472	0.000500971	0.011792439	6.285714286	0.418308964	0.139209492	1.58731133
AT2G01520	0.274744412	0	0	114.2142857	0.286727709	0.011983297	4.580584539
AT5G59090	0.274657891	4.44E-16	5.87E-14	35.78571429	0.302880191	0.0282223	3.42383976
AT1G15380	0.274587578	0	0	53.78571429	0.294895604	0.020308026	3.860082366
AT3G25190	0.27429951	0	0	48.42857143	0.29634806	0.02204855	3.748536951
AT3G47340	0.272800867	0.001096312	0.024172502	5.785714286	0.423645551	0.150844684	1.489793864
AT5G02780	0.271310074	8.05E-10	5.22E-08	18.78571429	0.32093301	0.049622936	2.693193173
AT4G22460	0.271108347	5.40E-07	2.34E-05	12.5	0.343384615	0.072276268	2.248231479
AT4G16690	0.270871808	1.79E-06	6.84E-05	11.42857143	0.349495192	0.078623384	2.15224224
AT5G09530	0.269953635	1.11E-16	1.51E-14	38.5	0.296508686	0.026555051	3.481016139
AT5G62340	0.269897526	2.10E-08	1.12E-06	15.64285714	0.328571451	0.058673925	2.48541572
AT4G00651	0.26867467	0.000201881	0.00523457	7.357142857	0.388277007	0.119602337	1.698840693
AT2G05540	0.267162332	0	0	63.35714286	0.285093357	0.017931025	3.990904541
AT1G50060	0.264295944	4.66E-08	2.39E-06	15.28571429	0.324233893	0.059937949	2.435493281
AT1G32450	0.262957765	0	0	64.57142857	0.280637602	0.017679837	3.988531485
AT3G15450	0.262887894	0	0	396	0.269598667	0.006710773	5.328190529
AT5G58570	0.261025171	0	0	44.14285714	0.284770309	0.023745137	3.584094734
ATCG00340	0.260452251	2.43E-13	2.45E-11	29.78571429	0.293438299	0.032986047	3.153129369
AT4G11210	0.259967801	0.000325454	0.008122575	7.214285714	0.381847933	0.121880132	1.647535246
AT2G19590	0.259185883	2.55E-05	0.000797264	9.571428571	0.352177117	0.092991234	1.921134541
AT3G57157	0.259092601	2.48E-11	1.98E-09	24.07142857	0.298823419	0.039730819	2.910962793
AT1G67148	0.257710563	1.36E-06	5.30E-05	12.42857143	0.330375926	0.072665363	2.184768803
AT3G54040	0.25708677	0	0	104.5714286	0.269753329	0.012666559	4.412544182
AT2G05380	0.255994797	0	0	653.8571429	0.261862787	0.005867989	5.479800997
AT1G22160	0.255030996	2.49E-06	9.19E-05	12	0.330128205	0.075097209	2.136195213
AT3G58810	0.254855166	5.17E-08	2.63E-06	15.92857143	0.312558683	0.057703518	2.437395912
AT5G13580	0.254552205	0.000116046	0.003125282	8.357142857	0.360390431	0.105838227	1.767699914
AT2G47540	0.254139067	2.49E-07	1.15E-05	14.35714286	0.317657788	0.063518722	2.322219607
AT4G12545	0.253613019	1.11E-16	1.51E-14	43.71428571	0.277546111	0.023933093	3.535648748
AT3G25760	0.253564795	2.69E-10	1.87E-08	21.92857143	0.296731163	0.043166368	2.781176833
AT1G02930	0.252739825	1.11E-16	1.51E-14	43.35714286	0.276832385	0.02409256	3.5223531
AT1G47400	0.252425594	0	0	78.35714286	0.267799611	0.015374016	4.122587863
AT3G54580	0.25130638	1.89E-07	8.77E-06	14.85714286	0.312841375	0.061534995	2.345952318
AT1G73120	0.250909452	2.98E-09	1.77E-07	19.42857143	0.299041789	0.048132337	2.635268735
AT5G01740	0.250165459	2.61E-08	1.39E-06	17.07142857	0.304312169	0.054146709	2.490606452
AT2G20670	0.250105804	2.79E-13	2.79E-11	31.57142857	0.281484818	0.031379014	3.165185196
AT2G36030	0.249771616	3.00E-05	0.000929272	9.857142857	0.340200023	0.090428407	1.911535285
AT2G41480	0.248651199	0.001860489	0.037962892	5.928571429	0.395971281	0.147320082	1.426441693
AT4G15440	0.246712547	9.64E-05	0.002651058	8.857142857	0.346834227	0.100121681	1.792491865
AT5G46900	0.245931542	5.13E-07	2.23E-05	14.21428571	0.310042676	0.064111134	2.273819975
AT5G48000	0.245005229	1.68E-13	1.72E-11	33.42857143	0.274895059	0.02988983	3.201154401
AT1G11080	0.243263448	3.86E-08	1.99E-06	17.28571429	0.296795616	0.053532168	2.470991796
AT3G01260	0.243260041	9.05E-05	0.0025074	9.071428571	0.341124682	0.097864642	1.801439531
AT1G55990	0.24302062	1.41E-06	5.47E-05	13.35714286	0.310952338	0.067931718	2.194536214
AT5G53450	0.242806212	0	0	177.1428571	0.252157308	0.009351096	4.753044703
ATCG00350	0.241601866	7.92E-11	5.86E-09	25.14285714	0.279834512	0.038232646	2.871696951
AT4G30460	0.241335696	1.96E-05	0.000630099	10.71428571	0.324895726	0.08356003	1.95909185
AT3G15356	0.24118996	0	0	185.2857143	0.250331101	0.009141141	4.775319431
AT5G07475	0.240372243	1.12E-09	7.19E-08	21.85714286	0.283664731	0.043292488	2.711998174
