Gene	TPM_average_ZT2	TPM_average_ZT4	TPM_average_ZT6	TPM_average_ZT8	TPM_average_ZT10	TPM_average_ZT12	TPM_average_ZT14	TPM_average_ZT16	TPM_average_ZT18	TPM_average_ZT20	TPM_average_ZT22	TPM_average_ZT24
AT1G01540	49.35714286	45.07142857	41.92857143	37.64285714	37.14285714	37.85714286	53.85714286	54	53.64285714	58.42857143	63.64285714	70.35714286
AT1G01550	128.2142857	122.9285714	127	114.4285714	105.0714286	100.7857143	114.6428571	122.1428571	126	125.7857143	129	139
AT1G01580	106	26.57142857	NA	NA	NA	7.642857143	18.71428571	38.64285714	85.64285714	78.5	130	86.78571429
AT1G01600	10.92857143	10.35714286	10	8.5	8.357142857	7.642857143	6.142857143	6.214285714	6.285714286	6.142857143	5.285714286	5.357142857
AT1G01610	50.28571429	42.28571429	47	43.85714286	44.21428571	36.35714286	47.35714286	43.57142857	41.5	41.07142857	39.85714286	41.07142857
AT1G01620	382.4285714	307.2857143	289.7857143	259.9285714	230.9285714	223.1428571	348.5714286	300.3571429	310.5	372.5714286	467.8571429	625.1428571
AT1G01630	77.78571429	75.14285714	77.5	72.78571429	68.71428571	63.14285714	58.64285714	56.35714286	56.35714286	49.42857143	49.92857143	48
AT1G01640	6.285714286	6.214285714	7.428571429	9.428571429	8.357142857	7.285714286	8.142857143	10.42857143	10.85714286	11.78571429	12.28571429	13.64285714
AT1G01650	17.5	16.71428571	16.28571429	15.71428571	17.85714286	19.78571429	19.14285714	16.57142857	15.28571429	13.71428571	14.21428571	15
AT1G01710	21.85714286	21.42857143	19.64285714	18.71428571	19.07142857	18	17.21428571	17.85714286	18.28571429	18.14285714	18.35714286	19.07142857
AT1G01720	40.92857143	35.28571429	32.85714286	32.35714286	35.28571429	37.57142857	34.71428571	37.14285714	41.64285714	46.57142857	50.92857143	67.21428571
AT1G01725	18.35714286	21.85714286	20.14285714	16.85714286	16.21428571	18.57142857	20.5	24.57142857	25.64285714	26.71428571	25.64285714	26.92857143
AT1G01730	28.42857143	29.64285714	30.64285714	31.28571429	32.5	33	38.14285714	37.85714286	38.28571429	37.64285714	39.07142857	41.78571429
AT1G01740	6	5.928571429	6.285714286	6.071428571	6.285714286	5.714285714	6.428571429	6.571428571	6.428571429	5.142857143	NA	NA
AT1G01750	16.14285714	15.64285714	16.78571429	19.42857143	15.5	12.78571429	13.64285714	15.92857143	17.14285714	13.92857143	16	18.21428571
AT1G01770	8.071428571	10	11.14285714	10.78571429	11.5	9.357142857	14.42857143	14	13.57142857	13.85714286	13.78571429	14
AT1G01780	18	19.85714286	21.07142857	21.14285714	19.71428571	16.21428571	22.42857143	22.14285714	23.14285714	22.57142857	21.78571429	23.57142857
AT1G01790	71.71428571	79	66.78571429	53.28571429	61.71428571	64.85714286	71.85714286	74.28571429	76.64285714	76	73.07142857	55.64285714
AT1G01800	85.35714286	82.85714286	71.21428571	63.92857143	70.14285714	80	85.35714286	87.92857143	85.57142857	80.71428571	80.07142857	80.5
AT1G01820	40.64285714	49.5	68.07142857	80.28571429	88.07142857	78.64285714	91.28571429	89.14285714	81.92857143	77.85714286	69.92857143	60.35714286
AT1G01830	6.5	10.07142857	10.21428571	8.571428571	7.714285714	7.142857143	8.285714286	8.714285714	8.5	8.928571429	9.071428571	8.714285714
