"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"	"Stable"
"ATCG00490"	"ATCG00490"	0.700332539513184	0	0	76.6428571428571	0.709725222563864	0.00939268305068009	0.700332539513184	0.707721826723947
"AT4G22513"	"AT4G22513"	0.695985852717502	0	0	157.714285714286	0.701958546402663	0.00597269368516073	0.695985852717502	0.700280863835652
"AT5G50335"	"AT5G50335"	0.694374166789389	0	0	13.6428571428571	0.734489818725448	0.040115651936059	0.694374166789389	0.729560425848829
"AT5G44973"	"AT5G44973"	0.637527622796449	5.90150150969748e-12	7.14035214157571e-10	4.78571428571429	0.746817005671985	0.109289382875536	0.637527622796449	0.735299638420177
"AT2G47880"	"AT2G47880"	0.637066055207665	0	0	14.7857142857143	0.674292731003506	0.0372266757958409	0.637066055207665	0.669638478711669
"AT4G22517"	"AT4G22517"	0.622222946658043	0	0	138	0.628657521852229	0.00643457519418556	0.622222946658043	0.626935850570074
"AT1G55010"	"AT1G55010"	0.613553893557779	0	0	9.57142857142857	0.66956834655654	0.0560144529987613	0.613553893557779	0.663124782150139
"ATCG00640"	"ATCG00640"	0.613539369284846	0	0	8.57142857142857	0.675769230769231	0.062229861484385	0.613539369284846	0.668733722697533
"ATCG00720"	"ATCG00720"	0.60344139605507	0	0	26.9285714285714	0.625116835897183	0.0216754398421136	0.60344139605507	0.621943653696178
"AT4G10270"	"AT4G10270"	0.581280780081958	1.11022302462516e-16	1.75873061818455e-14	7.57142857142857	0.651367856067037	0.0700870759850791	0.581280780081958	0.643584041852416
"AT4G22520"	"AT4G22520"	0.576304459439576	0	0	73.2857142857143	0.586001916872954	0.00969745743337851	0.576304459439576	0.583969494901352
"AT3G56970"	"AT3G56970"	0.564492710776232	0	0	17.4285714285714	0.596489777355136	0.031997066578904	0.564492710776232	0.59233358308396
"AT5G09672"	"AT5G09672"	0.5372630130315	0	0	9.71428571428571	0.592494011179132	0.0552309981476323	0.5372630130315	0.586125061520458
"ATCG00280"	"ATCG00280"	0.534915904125314	0	0	41.7142857142857	0.549879469376561	0.0149635652512468	0.534915904125314	0.547345513327066
"ATCG00330"	"ATCG00330"	0.534768515985944	0	0	38	0.550926912422757	0.0161583964368136	0.534768515985944	0.548279162927018
"ATCG00140"	"ATCG00140"	0.523288103533997	0	0	37.9285714285714	0.539471770918673	0.0161836673846758	0.523288103533997	0.536821614665995
"AT2G36854"	"AT2G36854"	0.522691080285801	0	0	10.2142857142857	0.575352565669941	0.0526614853841392	0.522691080285801	0.569228331512552
"AT3G13857"	"AT3G13857"	0.522364393333456	1.11022302462516e-16	1.75873061818455e-14	8.64285714285714	0.584102599128895	0.0617382057954396	0.522364393333456	0.577113915408525
