"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"	"Stable"
"47"	"AT1G43710"	-0.00815324162218809	0.999985054899017	0.999999997398184	69.3571428571429	0.00193833155488408	0.0100915731770722	-0.00815324162218809	-0.000131625249450835
"48"	"AT2G43945"	-0.00816400954374506	0.99999144702251	0.999999997398184	71.0714285714286	0.00175022775260143	0.00991423729634649	-0.00816400954374506	-0.000302839920235801
"49"	"AT5G66720"	-0.00837658427218201	0.999998980072042	0.999999997398184	74.4285714285714	0.00121403347887188	0.00959061775105388	-0.00837658427218201	-0.000808213284889867
"50"	"AT1G32160"	-0.00849022597301724	0.9999808113539	0.999999997398184	65.2142857142857	0.00206839967195739	0.0105586256449746	-0.00849022597301724	-4.60383197968101e-05
"51"	"AT4G38130"	-0.00860801514340788	0.999994941903087	0.999999997398184	68	0.00163029012509981	0.0102383052685077	-0.00860801514340788	-0.000453641164133723
"52"	"AT1G60940"	-0.00863191777835384	0.999985831989826	0.999999997398184	64.8571428571429	0.00196976459857556	0.0106016823769294	-0.00863191777835384	-0.000148774034317188
"53"	"AT5G12150"	-0.00864263384968327	0.999978676727579	0.999999997398184	63.5	0.00212708117723928	0.0107697150269226	-0.00864263384968327	-7.46056517662635e-06
"54"	"AT5G15610"	-0.00882065963586306	0.999982127048694	0.999999997398184	62.5	0.00207753846153846	0.0108981980974015	-0.00882065963586306	-6.92397637802014e-05
"55"	"AT3G06350"	-0.00929302265013426	0.999996675543076	0.999999997398184	62.7857142857143	0.00156804837115615	0.0108610710212904	-0.00929302265013426	-0.000575193942151928
"56"	"AT2G36950"	-0.00935208161675931	0.999987851770456	0.999999997398184	59.2857142857143	0.00198845428051409	0.0113405358972734	-0.00935208161675931	-0.000200451354316184
"57"	"AT1G63290"	-0.00962075020892085	0.999985345748744	0.999999997398184	56.8571428571429	0.00208716563101553	0.0117079158399364	-0.00962075020892085	-0.00013672856978264
"58"	"AT1G72170"	-0.00983907398214454	0.999995642440345	0.999999997398184	58	0.00169212475990122	0.0115311987420458	-0.00983907398214454	-0.00051493924109785
"59"	"AT1G79210"	-0.00984500791457077	0.999999782394282	0.999999997398184	62.8571428571429	0.00100683407501589	0.0108518419895867	-0.00984500791457077	-0.00113552928289183
"60"	"AT5G49970"	-0.0100218063197997	0.999980962177129	0.999999997398184	53.5714285714286	0.00223617094017094	0.0122579772599706	-0.0100218063197997	-4.01100625352559e-05
"61"	"AT5G22510"	-0.0100344513016827	0.999995661963436	0.999999997398184	56.6428571428571	0.00170739288397104	0.0117418441856537	-0.0100344513016827	-0.000519732587847828
"62"	"AT1G32500"	-0.0100842842688732	0.999990436318482	0.999999997398184	54.7142857142857	0.00197487410570873	0.0120591583745819	-0.0100842842688732	-0.000282471765055687
"63"	"AT3G54840"	-0.0105890475594493	0.999986299940972	0.999999997398184	50.9285714285714	0.00216287472591456	0.0127519222853639	-0.0105890475594493	-0.000160448660162418
"64"	"AT4G29260"	-0.0110625953667963	0.999999428052271	0.999999997398184	53.2142857142857	0.00125926413571114	0.0123218595025074	-0.0110625953667963	-0.0010231008900938
"65"	"AT2G24360"	-0.0112048791555006	0.999990572181515	0.999999997398184	48.3571428571429	0.00207946021979173	0.0132843393752923	-0.0112048791555006	-0.000294569555802251
"66"	"AT1G74230"	-0.0112350631803373	0.999997704664504	0.999999997398184	50.4285714285714	0.0016161321845502	0.0128511953648874	-0.0112350631803373	-0.000716645780529031
"67"	"AT3G62560"	-0.011253330759825	0.999998870476421	0.999999997398184	51.2857142857143	0.00142886729738166	0.0126821980572067	-0.011253330759825	-0.00088781568601368
"68"	"AT5G18580"	-0.0117848729772817	0.999998364464369	0.999999997398184	48.0714285714286	0.00156213989728735	0.0133470128745691	-0.0117848729772817	-0.00081785878299965
"69"	"AT1G14570"	-0.0119444979582021	0.999996902438905	0.999999997398184	46.5	0.00176098615224526	0.0137054841104474	-0.0119444979582021	-0.000653152645744442
"70"	"AT2G33410"	-0.0120668464205445	0.999995197728637	0.999999997398184	45.3571428571429	0.00191494536835228	0.0139817917888968	-0.0120668464205445	-0.000525508446632604
"71"	"AT4G04210"	-0.0121240571901131	0.999988186328528	0.999999997398184	43.7857142857143	0.00226120916757984	0.0143852663576929	-0.0121240571901131	-0.000217670796814197
"72"	"AT3G26730"	-0.0125851547204398	0.999987972022984	0.999999997398184	41.9285714285714	0.00231593672094704	0.0149010914413869	-0.0125851547204398	-0.00021206944189404
"73"	"AT1G69960"	-0.0128449550748652	0.999998582734824	0.999999997398184	43.5714285714286	0.00159758542988857	0.0144425405047538	-0.0128449550748652	-0.000886749215177921
"74"	"AT3G20790"	-0.0131934036022587	0.99998710723706	0.999999997398184	39.6428571428571	0.00240889538186835	0.015602298984127	-0.0131934036022587	-0.000185892451709883
"75"	"AT4G28260"	-0.0132003922615274	0.999999887550502	0.999999997398184	44.2857142857143	0.00105338989834307	0.0142537821598704	-0.0132003922615274	-0.00141296776149644
"76"	"AT1G66680"	-0.0133195589884179	0.999992107834173	0.999999997398184	39.8571428571429	0.00221358528677294	0.0155331442751908	-0.0133195589884179	-0.000374616384049466
"77"	"AT3G20290"	-0.0134039372394514	0.999983108696305	0.999999997398184	38.5714285714286	0.00255566107417959	0.0159595983136309	-0.0134039372394514	-7.31552669704437e-05
"78"	"AT3G63080"	-0.0136276710396975	0.999999945604155	0.999999997398184	43.0714285714286	0.000950725388239311	0.0145783964279368	-0.0136276710396975	-0.00154654791617795
"79"	"AT1G51690"	-0.0143848469076774	0.999999860114732	0.999999997398184	39.8571428571429	0.00114829736751346	0.0155331442751908	-0.0143848469076774	-0.00143990430330894
"80"	"AT1G28120"	-0.014796811637739	0.999988739467519	0.999999997398184	35	0.00251177394034537	0.0173085855780844	-0.014796811637739	-0.000245517378371665
"81"	"AT5G55530"	-0.0149916349675972	0.999988064531944	0.999999997398184	34.4285714285714	0.00255876077573362	0.0175503957433308	-0.0149916349675972	-0.000221560082530689
"82"	"AT3G58460"	-0.0151214271808591	0.999991264207532	0.999999997398184	34.4285714285714	0.00242896856247177	0.0175503957433308	-0.0151214271808591	-0.000351352295792539
"83"	"AT3G59090"	-0.015279317226609	0.999984569565009	0.999999997398184	33.4285714285714	0.00271413880881336	0.0179934560354223	-0.015279317226609	-0.000108378267745375
"84"	"AT3G26744"	-0.0155073745579058	0.999986152114911	0.999999997398184	33	0.00268418450236632	0.0181915590602721	-0.0155073745579058	-0.00015719952894002
