Gene	TypeV	ZT
AT3G58990	Variable	ZT2
AT2G43100	Variable	ZT2
AT2G46650	Variable	ZT2
AT2G05520	Variable	ZT2
AT4G34710	Variable	ZT2
AT1G78370	Variable	ZT2
ATCG00920	Variable	ZT2
AT3G15470	Stable	ZT2
AT5G08500	Stable	ZT2
AT1G70570	Stable	ZT2
AT1G77680	Stable	ZT2
AT2G47070	Stable	ZT2
AT5G66810	Stable	ZT2
AT5G56290	Stable	ZT2
AT1G01220	Stable	ZT2
AT2G36390	Stable	ZT2
AT1G53090	Stable	ZT2
AT1G52260	Stable	ZT2
AT2G26970	Stable	ZT2
AT4G03000	Stable	ZT2
AT1G05900	Stable	ZT2
AT3G04240	Stable	ZT2
AT2G46180	Stable	ZT2
AT2G45140	Stable	ZT2
AT3G52950	Stable	ZT2
AT1G51550	Stable	ZT2
AT5G62620	Stable	ZT2
AT2G35795	Stable	ZT2
AT3G25680	Stable	ZT2
AT3G57570	Stable	ZT2
AT5G47380	Stable	ZT2
AT4G28600	Stable	ZT2
AT2G05170	Stable	ZT2
AT5G64760	Stable	ZT2
AT2G38410	Stable	ZT2
AT1G54440	Stable	ZT2
AT2G22910	Stable	ZT2
AT2G37520	Stable	ZT2
AT4G24390	Stable	ZT2
AT3G47910	Stable	ZT2
AT5G64030	Stable	ZT2
AT1G71920	Stable	ZT2
AT3G09850	Stable	ZT2
AT1G10320	Stable	ZT2
AT1G08720	Stable	ZT2
AT2G26200	Stable	ZT2
AT4G34540	Stable	ZT2
AT2G40760	Stable	ZT2
AT1G45976	Stable	ZT2
AT5G20730	Stable	ZT2
AT2G22530	Stable	ZT2
AT5G01560	Stable	ZT2
AT3G44610	Stable	ZT2
AT1G69340	Stable	ZT2
AT3G09650	Stable	ZT2
AT3G54280	Stable	ZT2
AT2G25320	Stable	ZT2
AT1G61210	Stable	ZT2
AT2G43710	Stable	ZT2
AT3G57630	Stable	ZT2
AT4G30935	Stable	ZT2
AT5G08550	Stable	ZT2
AT4G34140	Stable	ZT2
AT5G12430	Stable	ZT2
AT3G10360	Stable	ZT2
AT4G00090	Stable	ZT2
AT5G49890	Stable	ZT2
AT3G59380	Stable	ZT2
AT1G35220	Stable	ZT2
AT1G77020	Stable	ZT2
AT4G01810	Stable	ZT2
AT2G47960	Stable	ZT2
AT1G18160	Stable	ZT2
AT2G05630	Stable	ZT2
AT2G15560	Stable	ZT2
AT5G01290	Stable	ZT2
AT1G54920	Stable	ZT2
AT1G74160	Stable	ZT2
AT2G32010	Stable	ZT2
AT2G46920	Stable	ZT2
AT3G20490	Stable	ZT2
AT1G65800	Stable	ZT2
AT4G37670	Stable	ZT2
AT5G19280	Stable	ZT2
AT3G15920	Stable	ZT2
AT4G29010	Stable	ZT2
AT1G16445	Stable	ZT2
AT3G27700	Stable	ZT2
AT5G22010	Stable	ZT2
AT5G39500	Stable	ZT2
AT2G27600	Stable	ZT2
AT3G26370	Stable	ZT2
AT1G17820	Stable	ZT2
AT4G35910	Stable	ZT2
AT5G08160	Stable	ZT2
AT3G10550	Stable	ZT2
AT5G40660	Stable	ZT2
AT5G50530	Stable	ZT2
AT4G27100	Stable	ZT2
AT4G32770	Stable	ZT2
AT3G13670	Stable	ZT2
AT2G21950	Stable	ZT2
AT1G18260	Stable	ZT2
AT2G30910	Stable	ZT2
AT3G63260	Stable	ZT2
AT1G50410	Stable	ZT2
AT5G59450	Stable	ZT2
AT2G40280	Stable	ZT2
AT1G49710	Stable	ZT2
AT3G03210	Stable	ZT2
AT5G19310	Stable	ZT2
AT1G49670	Stable	ZT2
AT2G39930	Stable	ZT2
AT3G21865	Stable	ZT2
AT1G53720	Stable	ZT2
AT1G65580	Stable	ZT2
AT1G54220	Stable	ZT2
AT2G28320	Stable	ZT2
AT1G21660	Stable	ZT2
AT2G41520	Stable	ZT2
AT2G43490	Stable	ZT2
AT2G45980	Stable	ZT2
AT4G00740	Stable	ZT2
AT1G67560	Stable	ZT2
AT2G30100	Stable	ZT2
AT1G67410	Stable	ZT2
AT2G32800	Stable	ZT2
AT5G49960	Stable	ZT2
AT4G38500	Stable	ZT2
AT1G30090	Stable	ZT2
AT1G76850	Stable	ZT2
AT1G02270	Stable	ZT2
AT1G71090	Stable	ZT2
AT5G49830	Stable	ZT2
AT3G46610	Stable	ZT2
AT1G79230	Stable	ZT2
AT5G57070	Stable	ZT2
AT3G26950	Stable	ZT2
AT5G07270	Stable	ZT2
AT4G21530	Stable	ZT2
AT1G53880	Stable	ZT2
AT1G51610	Stable	ZT2
AT4G05040	Stable	ZT2
AT4G32160	Stable	ZT2
AT5G41940	Stable	ZT2
AT1G14000	Stable	ZT2
AT3G08650	Stable	ZT2
AT5G42130	Stable	ZT2
AT3G05010	Stable	ZT2
AT1G69670	Stable	ZT2
AT1G22870	Stable	ZT2
AT2G20725	Stable	ZT2
AT1G21840	Stable	ZT2
AT1G71800	Stable	ZT2
AT3G17830	Stable	ZT2
AT3G20910	Stable	ZT2
AT3G53320	Stable	ZT2
AT1G24340	Stable	ZT2
AT4G11800	Stable	ZT2
AT1G08190	Stable	ZT2
AT3G21160	Stable	ZT2
AT4G10620	Stable	ZT2
AT4G18465	Stable	ZT2
AT3G05520	Stable	ZT2
AT3G45630	Stable	ZT2
AT1G31910	Stable	ZT2
AT1G18150	Stable	ZT2
AT1G55880	Stable	ZT2
AT5G29000	Stable	ZT2
AT1G07080	Stable	ZT2
AT1G02010	Stable	ZT2
AT5G17890	Stable	ZT2
AT1G32940	Stable	ZT2
AT1G56000	Stable	ZT2
AT2G01170	Stable	ZT2
AT1G19710	Stable	ZT2
AT1G21710	Stable	ZT2
AT1G79670	Stable	ZT2
AT2G44020	Stable	ZT2
AT1G66980	Stable	ZT2
AT2G15790	Stable	ZT2
AT3G46450	Stable	ZT2
AT4G33945	Stable	ZT2
AT2G22260	Stable	ZT2
AT3G60400	Stable	ZT2
AT1G01930	Stable	ZT2
AT3G51120	Stable	ZT2
AT2G30105	Stable	ZT2
AT1G12840	Stable	ZT2
AT1G03380	Stable	ZT2
AT2G24765	Stable	ZT2
AT1G52780	Stable	ZT2
AT5G56210	Stable	ZT2
AT1G72500	Stable	ZT2
AT1G21280	Stable	ZT2
AT2G45630	Stable	ZT2
AT5G45060	Stable	ZT2
AT5G47480	Stable	ZT2
AT4G23050	Stable	ZT2
AT3G57420	Stable	ZT2
AT4G16420	Stable	ZT2
AT2G02360	Stable	ZT2
AT2G27310	Stable	ZT2
AT5G46910	Stable	ZT2
AT4G20330	Stable	ZT2
AT3G55350	Stable	ZT2
AT1G80500	Stable	ZT2
AT4G19450	Stable	ZT2
AT1G22910	Stable	ZT2
AT5G17930	Stable	ZT2
AT4G02120	Stable	ZT2
AT3G58040	Stable	ZT2
AT2G42400	Stable	ZT2
AT5G64470	Stable	ZT2
AT1G71960	Stable	ZT2
AT5G22400	Stable	ZT2
AT3G47610	Stable	ZT2
AT2G44140	Stable	ZT2
AT3G60850	Stable	ZT2
AT2G17980	Stable	ZT2
AT2G20650	Stable	ZT2
AT5G24630	Stable	ZT2
AT5G45030	Stable	ZT2
AT1G01290	Stable	ZT2
AT2G39550	Stable	ZT2
AT3G20790	Stable	ZT2
AT5G10470	Stable	ZT2
AT1G21200	Stable	ZT2
AT1G23980	Stable	ZT2
AT1G01950	Stable	ZT2
AT3G04350	Stable	ZT2
AT5G53770	Stable	ZT2
AT4G15840	Stable	ZT2
AT3G58580	Stable	ZT2
AT3G54350	Stable	ZT2
AT1G55590	Stable	ZT2
AT4G11110	Stable	ZT2
AT4G26000	Stable	ZT2
AT5G44290	Stable	ZT2
AT1G42540	Stable	ZT2
AT3G14660	Stable	ZT2
AT1G06730	Stable	ZT2
AT2G21230	Stable	ZT2
AT5G23570	Stable	ZT2
AT5G46640	Stable	ZT2
AT1G04830	Stable	ZT2
AT4G00990	Stable	ZT2
AT3G05090	Stable	ZT2
AT3G62700	Stable	ZT2
AT5G57360	Stable	ZT2
AT1G65430	Stable	ZT2
AT3G46010	Stable	ZT2
AT5G11910	Stable	ZT2
AT1G58250	Stable	ZT2
AT2G06000	Stable	ZT2
AT2G24755	Stable	ZT2
AT4G06598	Stable	ZT2
AT2G37250	Stable	ZT2
AT5G08120	Stable	ZT2
AT3G24030	Stable	ZT2
AT5G20620	Stable	ZT2
AT1G67720	Stable	ZT2
AT5G58510	Stable	ZT2
AT1G09700	Stable	ZT2
AT1G80630	Stable	ZT2
AT1G75130	Stable	ZT2
AT5G05160	Stable	ZT2
AT1G06910	Stable	ZT2
AT1G66880	Stable	ZT2
AT1G80810	Stable	ZT2
AT3G17710	Stable	ZT2
AT3G55840	Stable	ZT2
AT4G12020	Stable	ZT2
AT4G21060	Stable	ZT2
AT1G22940	Stable	ZT2
AT5G18590	Stable	ZT2
AT2G17190	Stable	ZT2
AT3G06860	Stable	ZT2
AT4G25520	Stable	ZT2
AT4G36210	Stable	ZT2
AT3G07940	Stable	ZT2
AT3G63340	Stable	ZT2
AT2G17390	Stable	ZT2
AT4G36360	Stable	ZT2
AT1G55680	Stable	ZT2
AT3G27110	Stable	ZT2
AT1G72010	Stable	ZT2
AT3G12350	Stable	ZT2
AT1G17760	Stable	ZT2
AT3G44400	Stable	ZT2
AT4G16444	Stable	ZT2
AT5G13460	Stable	ZT2
AT2G02790	Stable	ZT2
AT1G14820	Stable	ZT2
AT3G59052	Stable	ZT2
AT2G45560	Stable	ZT2
AT5G66090	Stable	ZT2
AT3G10480	Stable	ZT2
AT4G19660	Stable	ZT2
AT2G33320	Stable	ZT2
AT4G31670	Stable	ZT2
AT2G04305	Stable	ZT2
AT2G16405	Stable	ZT2
AT3G27325	Stable	ZT2
AT2G40950	Stable	ZT2
AT1G12060	Stable	ZT2
AT2G34780	Stable	ZT2
AT3G21430	Stable	ZT2
AT1G68670	Stable	ZT2
AT2G25560	Stable	ZT2
AT2G40810	Stable	ZT2
AT3G04860	Stable	ZT2
AT4G20350	Stable	ZT2
AT5G01230	Stable	ZT2
AT5G01970	Stable	ZT2
AT1G61850	Stable	ZT2
AT2G47830	Stable	ZT2
AT5G22030	Stable	ZT2
AT1G20890	Stable	ZT2
AT1G78280	Stable	ZT2
AT4G10070	Stable	ZT2
AT4G25440	Stable	ZT2
AT5G55860	Stable	ZT2
AT1G28320	Stable	ZT2
AT1G63430	Stable	ZT2
AT5G67540	Stable	ZT2
AT2G02860	Stable	ZT2
AT5G51430	Stable	ZT2
AT1G18840	Stable	ZT2
AT3G15090	Stable	ZT2
AT1G19485	Stable	ZT2
AT2G25570	Stable	ZT2
AT5G32470	Stable	ZT2
AT4G03260	Stable	ZT2
AT1G63130	Stable	ZT2
AT4G00650	Stable	ZT2
AT5G23130	Stable	ZT2
AT5G53430	Stable	ZT2
AT1G25390	Stable	ZT2
AT4G09520	Stable	ZT2
AT4G12640	Stable	ZT2
AT5G09400	Stable	ZT2
AT5G46400	Stable	ZT2
AT2G46320	Stable	ZT2
AT1G48650	Stable	ZT2
AT3G58530	Stable	ZT2
AT1G29750	Stable	ZT2
AT3G06340	Stable	ZT2
AT4G36290	Stable	ZT2
AT5G13530	Stable	ZT2
AT3G08720	Stable	ZT2
AT2G34355	Stable	ZT2
AT2G37890	Stable	ZT2
AT5G06850	Stable	ZT2
AT5G41110	Stable	ZT2
AT1G14910	Stable	ZT2
AT1G51350	Stable	ZT2
AT2G27950	Stable	ZT2
AT4G11060	Stable	ZT2
AT1G05320	Stable	ZT2
AT3G16785	Stable	ZT2
AT5G10200	Stable	ZT2
AT1G56440	Stable	ZT2
AT2G40815	Stable	ZT2
AT5G41150	Stable	ZT2
AT5G09860	Stable	ZT2
AT4G39150	Stable	ZT2
AT2G01600	Stable	ZT2
AT2G20180	Stable	ZT2
AT4G30780	Stable	ZT2
AT1G28120	Stable	ZT2
AT4G28640	Stable	ZT2
AT3G09090	Stable	ZT2
AT2G39940	Stable	ZT2
AT3G18750	Stable	ZT2
AT1G68910	Stable	ZT2
AT3G15940	Stable	ZT2
AT5G26240	Stable	ZT2
AT1G08110	Stable	ZT2
AT4G00720	Stable	ZT2
AT5G21222	Stable	ZT2
AT3G20020	Stable	ZT2
AT5G14270	Stable	ZT2
AT1G13460	Stable	ZT2
AT5G02290	Stable	ZT2
AT4G24400	Stable	ZT2
AT5G66050	Stable	ZT2
AT5G25360	Stable	ZT2
AT3G07610	Stable	ZT2
AT1G69935	Stable	ZT2
AT1G29220	Stable	ZT2
AT3G61960	Stable	ZT2
AT4G17370	Stable	ZT2
AT5G11380	Stable	ZT2
AT1G77480	Stable	ZT2
AT5G61810	Stable	ZT2
AT4G13640	Stable	ZT2
AT1G47550	Stable	ZT2
AT2G32170	Stable	ZT2
AT4G16180	Stable	ZT2
AT5G66030	Stable	ZT2
AT3G02050	Stable	ZT2
AT4G14500	Stable	ZT2
AT5G58640	Stable	ZT2
AT1G62850	Stable	ZT2
AT1G61690	Stable	ZT2
AT2G26470	Stable	ZT2
AT2G29580	Stable	ZT2
AT3G20350	Stable	ZT2
AT3G53090	Stable	ZT2
AT5G03490	Stable	ZT2
AT5G04360	Stable	ZT2
AT4G36630	Stable	ZT2
AT5G16310	Stable	ZT2
AT5G60370	Stable	ZT2
AT5G46170	Stable	ZT2
AT1G16680	Stable	ZT2
AT3G54380	Stable	ZT2
AT1G67840	Stable	ZT2
AT4G30750	Stable	ZT2
AT2G42790	Stable	ZT2
AT1G31814	Stable	ZT2
AT1G79190	Stable	ZT2
AT2G23360	Stable	ZT2
AT3G12980	Stable	ZT2
AT4G02900	Stable	ZT2
AT5G18820	Stable	ZT2
AT5G55760	Stable	ZT2
AT5G59210	Stable	ZT2
AT4G34090	Stable	ZT2
AT5G53340	Stable	ZT2
AT1G59520	Stable	ZT2
AT3G15115	Stable	ZT2
AT5G42870	Stable	ZT2
AT1G35470	Stable	ZT2
AT3G42950	Stable	ZT2
AT5G07950	Stable	ZT2
AT4G13100	Stable	ZT2
AT1G18580	Stable	ZT2
AT1G24460	Stable	ZT2
AT1G27900	Stable	ZT2
AT1G68720	Stable	ZT2
AT4G33240	Stable	ZT2
AT2G36720	Stable	ZT2
AT1G04945	Stable	ZT2
AT5G06580	Stable	ZT2
AT5G44240	Stable	ZT2
AT1G55620	Stable	ZT2
