Gene	TypeV	ZT
AT5G63660	Variable	ZT12
AT5G10580	Variable	ZT12
AT5G23830	Variable	ZT12
AT2G40330	Variable	ZT12
AT5G13740	Variable	ZT12
AT2G29340	Variable	ZT12
ATCG00730	Variable	ZT12
AT4G15480	Variable	ZT12
AT1G02920	Variable	ZT12
AT1G03940	Variable	ZT12
AT5G07990	Variable	ZT12
AT3G16670	Variable	ZT12
AT1G76960	Variable	ZT12
AT1G65490	Variable	ZT12
AT4G35060	Variable	ZT12
AT1G06830	Variable	ZT12
AT3G11930	Variable	ZT12
AT5G05440	Variable	ZT12
AT1G78000	Variable	ZT12
AT3G14620	Variable	ZT12
AT5G07690	Variable	ZT12
AT3G24300	Variable	ZT12
AT1G66280	Variable	ZT12
AT1G02850	Variable	ZT12
AT1G21130	Variable	ZT12
AT1G49310	Variable	ZT12
AT5G53902	Variable	ZT12
AT1G17190	Variable	ZT12
AT5G54510	Variable	ZT12
AT2G38530	Variable	ZT12
AT1G76955	Variable	ZT12
AT3G03270	Variable	ZT12
AT3G01290	Variable	ZT12
AT1G77760	Variable	ZT12
AT1G52060	Variable	ZT12
AT3G47640	Variable	ZT12
AT2G34925	Variable	ZT12
AT3G22620	Variable	ZT12
AT5G47500	Variable	ZT12
AT2G38310	Variable	ZT12
AT5G64100	Variable	ZT12
AT5G66985	Variable	ZT12
AT5G19240	Variable	ZT12
AT2G43820	Variable	ZT12
AT5G41080	Variable	ZT12
AT1G58290	Variable	ZT12
AT1G72645	Variable	ZT12
AT5G63600	Variable	ZT12
AT1G05240	Variable	ZT12
AT4G08770	Variable	ZT12
AT1G18980	Variable	ZT12
AT2G29170	Variable	ZT12
AT4G38080	Variable	ZT12
AT5G63560	Variable	ZT12
AT5G50560	Variable	ZT12
AT2G17500	Variable	ZT12
AT2G39310	Variable	ZT12
AT2G36100	Variable	ZT12
ATCG00270	Variable	ZT12
AT4G21850	Variable	ZT12
AT5G26280	Variable	ZT12
AT5G57080	Variable	ZT12
AT4G15620	Variable	ZT12
AT4G02270	Variable	ZT12
AT2G22510	Variable	ZT12
AT3G21510	Variable	ZT12
AT3G48720	Variable	ZT12
AT2G34430	Variable	ZT12
AT1G23090	Variable	ZT12
AT2G26980	Variable	ZT12
AT2G43150	Variable	ZT12
AT5G52310	Variable	ZT12
AT4G33666	Variable	ZT12
