"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"
"AT5G02760"	0.312140680308786	0	0	17.5	0.33243328100471	0.020292600695924	4.03403914476781
"AT5G53486"	0.309500343077397	0	0	15.1428571428571	0.332680669277323	0.0231803261999254	3.84316526590486
"AT1G55990"	0.29674995546241	0	0	12.8571428571429	0.323741690408357	0.0269917349459475	3.58425354620348
"AT4G36850"	0.295502967199419	3.00859337443171e-12	3.96131460966842e-10	7.85714285714286	0.338563254926891	0.0430602877274726	2.97499553792276
"AT3G02480"	0.29544129320668	7.21378512480442e-12	9.25460809600977e-10	7.57142857142857	0.340060793602979	0.0446195003962998	2.93004641902244
"AT2G43018"	0.290043651673394	0	0	15.1428571428571	0.313223977873319	0.0231803261999254	3.7562218842219
"AT3G27027"	0.288244880464056	3.5601077641445e-11	4.20765492439441e-09	7.28571428571429	0.334545884718895	0.046301004254839	2.85308870705419
"AT4G31940"	0.288100341180905	0	0	205.428571428571	0.291421849557763	0.00332150837685815	6.45512668540164
"AT1G61275"	0.286197588269452	3.04898106762153e-10	3.11327930782307e-08	6.64285714285714	0.336810836290545	0.0506132480210927	2.73435159031486
"AT2G30766"	0.284579190664291	0	0	187.714285714286	0.288049834650197	0.00347064398590692	6.37497123644161
"AT5G58390"	0.281898289283457	8.24968982016117e-11	9.24088389556859e-09	7.21428571428571	0.328640480194249	0.0467421909107923	2.81371293161532
"AT2G01520"	0.279435360427801	0	0	37.7857142857143	0.289768393205702	0.0103330327779014	4.80956458294839
"AT3G56980"	0.27775145939681	0	0	15.0714285714286	0.301033393057382	0.0232819336605717	3.6926407411522
"AT1G14960"	0.27226107373781	5.77072034602111e-09	5.21798267432391e-07	6.07142857142857	0.327474048442907	0.0552129747050966	2.56830134464804
"AT3G22231"	0.264707078496542	0	0	26.6428571428571	0.278633498407952	0.0139264199114099	4.32247238016904
"AT5G64570"	0.256871969976956	0	0	22.0714285714286	0.27332219942268	0.0164502294457237	4.0544230295915
"AT3G28220"	0.254738897831759	0	0	79.2142857142857	0.260578431196564	0.00583953336480562	5.47972077430676
"AT5G40590"	0.254701811762642	7.105427357601e-15	1.07729762260193e-12	12.3571428571429	0.282715246596432	0.0280134348337902	3.33515889490534
"AT3G14620"	0.254400099330436	0	0	14.8571428571429	0.27799271734183	0.0235926180113941	3.55863966404573
"AT1G53542"	0.252525453248119	4.42978986825437e-14	6.51873979632335e-12	11.6428571428571	0.282150684574562	0.0296252313264429	3.25156752561262
