tracking_id	FPKM_WT_ZT12_seedling_11	TPM_WT_ZT12_seedling_11	Raw_WT_ZT12_seedling_11
AT1G01725	15.4064	17.15523136	52
AT1G01730	34.8477	38.80337754	294
AT1G01740	4.88783	5.442663729	99
AT1G01750	19.5581	21.77820454	132
AT1G01760	3.55468	3.958183469	54
AT1G01770	7.98481	8.891192159	193
AT1G01780	17.739	19.75261249	141
AT1G01790	60.3429	67.19262191	2493
AT1G01800	70.347	78.33232035	665
AT1G01810	1.83084	2.038664696	10
AT1G01820	69.8008	77.72411938	600
AT1G01830	4.66996	5.200062586	118
AT1G01840	3.32392	3.701229139	24
AT1G01860	19.4945	21.70738509	198
AT1G01870	0	0	0
AT1G01880	2.15607	2.400812628	40
AT1G01890	0	0	0
AT1G01900	6.58179	7.328910724	164
AT1G01910	40.8791	45.51942168	595
AT1G01920	14.7258	16.3973742	300
AT1G01930	8.09832	9.017587054	175
AT1G01940	34.6192	38.54893975	220
AT1G01950	9.53653	10.61905302	323
AT1G01960	20.9022	23.27487777	1192
AT1G01970	40.3816	44.96544881	627
AT1G01980	0	0	0
AT1G01990	18.2757	20.35023508	193
AT1G02000	6.22418	6.930707232	110
AT1G02010	5.4905	6.113744792	146
AT1G02020	8.17526	9.103260768	170
AT1G02030	0.657615	0.732263051	13
AT1G02040	0.0981766	0.10932095	1
AT1G02050	4.99251	5.559226302	88
AT1G02060	4.13089	4.599800969	101
AT1G02065	0.761725	0.848190921	10
AT1G02070	0	0	0
AT1G02074	0	0	0
AT1G02080	21.3789	23.80568956	1518
AT1G02090	43.8815	48.86263402	518
AT1G02100	27.3754	30.48287208	392
AT1G02110	11.7758	13.11250996	315
AT1G02120	26.1249	29.0904237	627
AT1G02130	57.3273	63.83471119	520
AT1G02140	190.308	211.9104897	1124
AT1G02145	17.3894	19.36332824	258
AT1G02150	83.1501	92.58874252	1635
AT1G02160	50.1338	55.82465324	183
AT1G02170	18.3689	20.45401452	239
AT1G02180	7.17732	7.992041302	52
AT1G02190	0	0	0
AT1G02205	17.7356	19.74882654	397
AT1G02210	0	0	0
AT1G02220	10.8197	12.04787989	156
AT1G02228	0	0	0
AT1G02230	1.02244	1.138500542	16
AT1G02250	0	0	0
AT1G02260	13.7961	15.36214088	254
AT1G02270	15.3356	17.07639461	224
AT1G02280	83.9201	93.44614776	884
AT1G02290	8.17116	9.098695363	134
AT1G02300	16.6518	18.54200082	227
AT1G02305	43.9844	48.97721454	563
AT1G02310	0.451755	0.503035202	6
AT1G02320	0	0	0
AT1G02330	28.9154	32.19768257	333
AT1G02335	25.8371	28.76995457	156
AT1G02340	1.80513	2.010036269	18
AT1G02350	2.59804	2.892952102	26
AT1G02360	34.9619	38.93054076	312
AT1G02370	8.01347	8.92310545	139
AT1G02380	3.21814	3.583441702	34
AT1G02390	2.00559	2.233251146	28
AT1G02391	0	0	0
AT1G02400	9.10985	10.14393917	106
AT1G02405	0	0	0
AT1G02410	20.6585	23.00351458	225
AT1G02420	3.07443	3.423418705	46
AT1G02430	1.31532	1.464626318	25
AT1G02440	0.204128	0.227299244	1
AT1G02450	0.900193	1.002376881	3
AT1G02460	1.94794	2.169057104	30
AT1G02470	0.50232	0.559340003	6
AT1G02475	79.7016	88.74879189	488
AT1G02480	0	0	0
AT1G02490	0	0	4
AT1G02500	240.508	267.8088575	3931
AT1G02510	0	0	0
AT1G02520	3.56859	3.973672439	145
AT1G02530	0.0716966	0.079835118	2
AT1G02540	0	0	0
AT1G02550	0	0	0
AT1G02560	307.575	342.4888543	3593
AT1G02570	1.66697	1.856193271	12
AT1G02575	0.138033	0.153701582	1
AT1G02580	0.296299	0.329932878	1
AT1G02590	0	0	0
AT1G02600	0	0	0
AT1G02610	1.41167	1.571913325	11
AT1G02620	0.414292	0.461319653	2
AT1G02630	0	0	0
AT1G02640	4.84654	5.396686765	133
AT1G02650	0.841367	0.936873347	12
AT1G02660	1.15616	1.287399541	28
AT1G02670	1.05416	1.173821184	32
AT1G02680	13.7958	15.36180683	116
AT1G02690	22.218	24.74003857	437
AT1G02700	1.54824	1.723985837	23
AT1G02710	4.13726	4.606894049	32
AT1G02720	14.8444	16.52943688	205
AT1G02730	26.7092	29.74104952	1116
AT1G02740	8.17745	9.105699362	117
AT1G02750	14.9905	16.69212117	125
AT1G02760	0	0	0
AT1G02770	0.0855956	0.095311839	1
AT1G02780	895.443	997.0876928	8868
AT1G02790	0	0	0
AT1G02800	4.9891	5.555429221	80
AT1G02810	10.9112	12.14976635	194
AT1G02813	0.730504	0.813425922	3
AT1G02816	18.6553	20.77292473	132
AT1G02820	3.37645	3.759721993	16
AT1G02830	0	0	0
AT1G02840	77.1202	85.87436865	1042
AT1G02850	14.2982	15.92123591	270
AT1G02860	9.68217	10.7812251	124
AT1G02870	43.251	48.16056388	308
AT1G02880	35.7363	39.79284546	349
AT1G02890	24.8191	27.63639803	1093
AT1G02900	40.8784	45.51864222	219
AT1G02910	46.6608	51.95742154	717
AT1G02920	40.4585	45.05107798	283
