"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"	"Stable"
"AT3G56970"	"AT3G56970"	0.571721882146701	0	0	16.8571428571429	0.586800875080105	0.015078992933404	0.571721882146701	0.584178428652279
"AT4G21650"	"AT4G21650"	0.571234880447473	0	0	7.85714285714286	0.600228862047044	0.0289939815995714	0.571234880447473	0.596281178603393
"AT3G41768"	"AT3G41768"	0.563625022552454	0	0	3762.14285714286	0.56661044143096	0.00298541887850689	0.563625022552454	0.565139763960744
"ATCG00730"	"ATCG00730"	0.559246290095885	0	0	21.5	0.571701959479136	0.0124556693832512	0.559246290095885	0.56932935338942
"ATCG00710"	"ATCG00710"	0.546244342361594	0	0	17.6428571428571	0.560782330980171	0.0145379886185765	0.546244342361594	0.558211408772805
"ATCG00540"	"ATCG00540"	0.544478786509006	0	0	10.5714285714286	0.566780918132269	0.0223021316232636	0.544478786509006	0.563470553733981
"ATCG00150"	"ATCG00150"	0.544198781149933	0	0	11.4285714285714	0.565048076923077	0.0208492957731441	0.544198781149933	0.561876077843847
"AT2G31980"	"AT2G31980"	0.53998395742093	0	0	6.5	0.57441966317706	0.0344357057561295	0.53998395742093	0.569953720289927
"AT3G05727"	"AT3G05727"	0.515261160045875	0	0	210.071428571429	0.519166961489455	0.00390580144358004	0.515261160045875	0.51760862853685
"ATCG00430"	"ATCG00430"	0.499607031257347	0	0	5.85714285714286	0.537500572003844	0.0378935407464969	0.499607031257347	0.532705311498581
"AT1G47395"	"AT1G47395"	0.485902360579394	0	0	28.7857142857143	0.495947316295942	0.0100449557165484	0.485902360579394	0.493804301984008
"ATCG00270"	"ATCG00270"	0.481686410612472	0	0	27.2142857142857	0.492142146677456	0.010455736064984	0.481686410612472	0.489960010427575
"ATCG00350"	"ATCG00350"	0.478198433485074	0	0	37.7142857142857	0.486559210991029	0.00836077750595547	0.478198433485074	0.484576594603913
"AT4G22490"	"AT4G22490"	0.468288923549787	0	0	150.714285714286	0.472578644822754	0.00428972127296714	0.468288923549787	0.470983748076875
"AT5G38930"	"AT5G38930"	0.463652847062016	0	0	6.57142857142857	0.497746110222481	0.0340932631604651	0.463652847062016	0.493312780915887
"AT2G30766"	"AT2G30766"	0.46247485190676	0	0	130.642857142857	0.466973323504138	0.00449847159737811	0.46247485190676	0.465358545774982
"AT3G47360"	"AT3G47360"	0.459548710471279	0	0	23.1428571428571	0.471328244990796	0.0117795345195176	0.459548710471279	0.469020032697627
"AT5G58390"	"AT5G58390"	0.423739817309374	0	0	8.28571428571429	0.451385712979054	0.02764589566968	0.423739817309374	0.447566418671583
"AT1G53542"	"AT1G53542"	0.41977838434636	0	0	5.92857142857143	0.457250689505008	0.0374723051586476	0.41977838434636	0.452495546674778
"AT5G15120"	"AT5G15120"	0.417339047440088	0	0	6.57142857142857	0.451432310600553	0.0340932631604651	0.417339047440088	0.446998981293959
"AT5G04150"	"AT5G04150"	0.409669726885513	0	0	8.07142857142857	0.437971770574167	0.0283020436886537	0.409669726885513	0.434089985979175
"AT5G64110"	"AT5G64110"	0.400646282945087	0	0	13.9285714285714	0.418279472007283	0.0176331890621958	0.400646282945087	0.415413768805286
"AT5G59330"	"AT5G59330"	0.390308635745365	4.77395900588817e-15	5.11274547603017e-13	4.5	0.438746438746439	0.0484378030010742	0.390308635745365	0.432946962788359
"AT2G43510"	"AT2G43510"	0.388898638131957	0	0	10	0.412307692307692	0.0234090541757355	0.388898638131957	0.40889190671393
"AT5G53486"	"AT5G53486"	0.379152308995054	0	0	8.5	0.406175139739154	0.0270228307440999	0.379152308995054	0.402415184948404
"AT4G22485"	"AT4G22485"	0.375321767708667	0	0	40.7857142857143	0.383273646801853	0.00795187909318679	0.375321767708667	0.381329973120715
"AT4G36570"	"AT4G36570"	0.375045872782126	0	0	7.14285714285714	0.406646153846154	0.0316002810640282	0.375045872782126	0.402450251405888
"AT5G44260"	"AT5G44260"	0.373549750605869	0	0	14.2857142857143	0.390815384615385	0.017265634009516	0.373549750605869	0.3879846866565
"ATMG01390"	"ATMG01390"	0.370232422539868	0	0	108.214285714286	0.375055772142332	0.00482334960246425	0.370232422539868	0.373410053650786
"AT4G22505"	"AT4G22505"	0.368439720062475	0	0	27.5714285714286	0.378797985284065	0.0103582652215905	0.368439720062475	0.37662513197165
"AT4G29030"	"AT4G29030"	0.353309922399212	0	0	28.7142857142857	0.363372574555466	0.0100626521562537	0.353309922399212	0.361227874868321
