"tracking_id"	"TPM_ZT0_seedling1"	"TPM_ZT0_seedling10"	"TPM_ZT0_seedling12"	"TPM_ZT0_seedling13"	"TPM_ZT0_seedling14"	"TPM_ZT0_seedling15"	"TPM_ZT0_seedling16"	"TPM_ZT0_seedling2"	"TPM_ZT0_seedling4"	"TPM_ZT0_seedling5"	"TPM_ZT0_seedling6"	"TPM_ZT0_seedling7"	"TPM_ZT0_seedling8"	"TPM_ZT0_seedling9"
"AT1G52050"	5.208118	17.78022	2.964076	16.241049	33.216373	17.15564	21.604887	15.599436	8.080011	7.988428	14.671488	11.175164	19.060329	18.277716
"AT1G52060"	3.115339	42.538696	3.155426	32.477798	63.753693	41.960602	45.248627	35.162834	22.205999	17.89435	29.711853	28.178164	50.761383	41.274979
"AT1G52070"	10.863028	77.079353	13.401278	66.174408	134.885239	84.927078	85.016647	62.813152	34.417187	22.713415	55.187023	52.826862	92.090652	76.621613
"AT1G52080"	2.84663	5.917902	4.198302	6.345404	6.644954	4.434661	5.71844	3.808365	5.004716	5.026649	5.145638	3.473152	2.9233	5.787409
"AT1G52085.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52087"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52090"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52100"	51.004738	55.629566	55.545773	39.106422	42.810902	98.178551	64.27478	67.272263	71.402161	46.244926	53.084488	81.723907	57.691422	75.594482
"AT1G52110"	0.389254	0.250228	0	0.044734	0.180839	0.15057	0.35425	0.151249	0.215465	0.324372	0.272745	0.274049	0	0.064521
"AT1G52120"	2.357317	2.854404	0.520006	2.822536	1.003858	0.493854	2.113396	0.710762	0.25653	3.031507	1.941923	1.266343	4.154859	1.592821
"AT1G52130"	0.552625	1.416833	0.32314	0.45851	0.885891	0.344087	0.414164	0.652195	0.581582	1.035466	0.173565	0.50352	0.758528	1.05767
"AT1G52140"	7.803652	12.672142	9.545452	15.394339	18.17231	17.425709	14.655724	10.963139	12.452887	11.898144	12.291502	10.441992	11.712529	16.763268
"AT1G52150"	21.822294	26.868698	22.444744	26.33952	22.350435	19.016516	15.190466	19.144682	20.850903	21.05617	21.563383	20.715475	17.788565	24.312672
"AT1G52155"	3.095164	7.548668	7.511522	6.725778	7.312022	5.009464	6.202629	4.463639	5.92418	5.458083	6.775235	5.344336	8.453726	7.672814
"AT1G52160"	5.376915	7.019321	4.780223	7.028205	7.681421	3.622719	5.192266	5.455479	6.920866	5.667815	4.729911	5.426246	6.199121	4.580343
"AT1G52170"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52180"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52185"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52190"	22.873621	32.861732	30.881344	23.817017	19.649553	24.785231	15.242091	31.444304	35.186092	30.70573	22.030979	31.314625	18.927383	39.808071
"AT1G52191"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01525
"AT1G52200"	24.352295	43.909637	35.782887	59.645283	76.125473	49.194931	60.535206	43.909077	42.09964	58.064796	42.989101	37.926369	61.886791	47.324112
"AT1G52210"	0	0.020555	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52211.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52220"	280.573608	356.24707	353.568665	325.149567	315.90741	364.249847	368.502258	302.314087	298.790466	322.19043	328.223785	315.383209	299.109467	362.535645
"AT1G52230"	1440.369629	1391.861938	1763.956299	1618.31189	1303.487549	1469.391113	1641.916016	1381.446777	1422.44519	1571.286987	1805.405029	1441.915283	1554.460693	1598.56665
"AT1G52240"	4.220645	9.482938	6.417204	7.225766	10.32198	6.040727	11.325235	9.470519	5.705351	6.029389	9.359591	7.410514	3.630103	3.717591
"AT1G52260"	8.643744	13.990439	9.577227	10.653449	12.651134	9.493145	10.005011	10.492968	11.52943	10.165525	9.84724	12.207257	13.93816	10.435318
"AT1G52270"	1.762212	2.895604	1.386372	2.705218	1.798903	2.521916	1.698559	3.239568	1.773672	0.727538	0.745907	1.835274	1.624458	3.183096
"AT1G52280"	17.167936	31.723442	21.267982	26.098238	32.338398	25.738758	25.008741	16.30271	12.277357	23.573963	22.486076	20.399786	22.537298	24.72427
"AT1G52290"	4.099272	7.176538	5.791464	6.026015	6.531762	3.688881	3.649962	2.94296	5.267478	6.876975	6.16181	5.51858	6.435893	4.451843
"AT1G52300"	460.447998	548.966919	523.631958	557.567749	589.389099	515.14801	492.214081	496.618134	477.590576	481.25827	467.343689	493.820068	520.998596	503.662628
"AT1G52310"	21.109035	24.137856	22.81786	22.349192	25.700022	21.309738	18.253208	18.235069	19.111629	18.208364	19.67071	19.218401	19.53266	21.614866
"AT1G52315"	1.249445	1.665472	0.918188	2.430515	1.401776	1.226168	0.983603	0.880834	0.555484	1.043783	1.978036	1.284694	0.983607	1.669427
"AT1G52320"	15.562069	19.921654	18.128534	17.469173	18.801836	17.120491	15.982989	18.976339	16.651697	18.066992	15.748587	18.569145	17.744287	18.027672
"AT1G52325"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52330"	3.849426	9.002961	3.752298	4.227546	7.435489	6.257907	8.587049	4.495793	4.992752	6.762578	8.278481	4.944497	5.643106	8.945158
"AT1G52340"	16.134115	27.296791	20.060667	28.931639	27.033319	23.308073	26.208582	17.643475	20.953613	22.639561	20.976343	20.547756	16.24337	21.781593
"AT1G52342"	35.355385	38.020878	39.719364	34.856674	38.97493	34.946564	43.272564	20.121614	20.750786	35.778252	26.484161	22.806032	26.439657	47.134937
"AT1G52343"	0.308103	0.375416	0	1.156775	0.641899	1.379196	0.490575	0.550337	0	0.435752	0.444263	0.134526	0.642211	0.282754
"AT1G52347"	16.306475	18.934839	14.442037	19.011997	17.632631	16.510828	20.89036	16.016073	15.251013	16.735317	19.081966	16.340519	20.061533	18.242071
"AT1G52350"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52360"	33.983856	50.540627	36.05241	45.932697	52.466408	42.19104	36.895786	46.50779	39.68544	42.517746	41.227699	44.982021	37.706329	39.626259
"AT1G52370"	16.559305	23.294455	18.898567	17.828472	16.51956	22.518719	20.38135	22.145224	21.134153	19.422222	18.39436	25.735065	14.511202	16.170601
"AT1G52380"	21.301325	32.492023	24.556967	28.449461	29.775883	24.997639	25.088547	22.939798	23.188091	26.139727	23.100912	25.502676	23.539551	25.784538
"AT1G52390"	0	0	0	0	0	0	0.528627	0	0	0	0	0	0	0
"AT1G52400"	21.640337	74.32795	37.597481	46.671749	25.278374	24.426666	3.935626	25.668455	18.809343	18.414337	18.163448	9.898588	33.751408	30.664312
"AT1G52410"	6.120492	11.12079	6.976674	7.224698	5.993668	4.958043	2.5602	5.842394	3.92813	3.734612	3.89078	5.661438	4.625113	5.966491
"AT1G52415"	0	0	0.427058	0	0.247592	0	0.129788	0	0	0.218567	0	0	0.992538	0
"AT1G52420"	24.048773	33.997356	25.685198	30.948599	36.306519	30.807295	29.559736	29.065653	28.347595	28.447222	26.67157	31.047054	30.337896	32.285629
"AT1G52430"	0.231787	0.458826	0.373536	0.396337	0.47341	0.394028	0.208768	0.232579	0.441603	0.255027	0.280244	0.403272	0.198743	0.312077
"AT1G52440"	0	0.099285	0	0.065318	0.167923	0	0.201382	0	0.458585	0	0	0	0	0.148184
"AT1G52450"	0.485857	0.746806	0.482511	0.79736	1.344921	0.529986	0.379437	0.930317	0.500883	0.813641	0.954948	0.717548	1.15463	0.527328
"AT1G52460"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52470"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010771
"AT1G52490"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52500"	8.454911	14.324937	10.620974	12.291395	10.980835	9.019592	11.637664	12.474439	10.949158	11.042131	13.096166	12.152516	9.957044	12.778076
"AT1G52510"	97.645889	108.163254	112.509888	99.716873	91.174873	109.991081	110.377937	91.896507	99.569992	119.906601	106.183243	113.698784	100.295876	94.624428
"AT1G52520"	3.538516	4.978999	5.002576	5.125538	5.486843	4.554007	4.952192	4.048087	5.12197	4.526243	4.722139	3.642662	3.835356	4.7753
"AT1G52530"	0.765981	1.192875	1.686181	0.713378	1.064491	0.770694	0.731533	0.777058	0	0.78578	1.262977	0.73904	1.282386	0.634085
"AT1G52540"	12.002717	19.228714	14.071095	16.614332	21.595831	14.934956	14.644673	12.307055	15.800388	15.127457	18.535	14.797842	10.875472	15.978415
"AT1G52550"	21.216852	16.593533	16.274666	15.241575	17.156906	16.390291	14.298942	19.464115	15.409795	20.782866	18.755875	21.933153	17.574984	19.013647
"AT1G52560"	3.244581	4.865893	3.737136	5.926684	3.982283	3.580123	4.217555	1.898097	2.444761	3.191189	3.98977	3.027532	0.672152	1.876028
"AT1G52565"	8.263911	16.05864	10.740833	12.775632	9.61644	9.183772	8.873105	6.02649	10.003187	11.00082	11.76428	6.925049	6.405324	10.751487
"AT1G52570"	0.316276	1.395254	1.43039	1.675683	1.383628	1.742561	1.696794	1.291216	2.594433	0.770385	1.040169	1.525916	1.511361	1.479405
"AT1G52580"	0	0	0	0	0	0	0.158234	0	0	0	0	0.111536	0.486313	0
"AT1G52590"	19.492933	29.529985	34.480419	24.753674	22.921146	27.894739	27.755518	25.326189	21.137592	25.190083	22.708393	25.979401	22.292009	27.419254
"AT1G52600"	42.943214	52.027706	37.048996	50.122681	59.810486	48.343632	48.98727	44.689358	38.006832	45.129856	37.675304	42.838272	37.39785	50.994255
"AT1G52610"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52615"	0	0.060054	0	0	0	0	0	0	0	0.081833	0	0	0	0
"AT1G52618"	0.520638	0.174191	0	0.324693	0	0	0	0	0	0.240571	0	0	0	0
"AT1G52620"	3.056783	3.845205	2.903207	2.96454	3.731493	3.019255	2.431315	3.197445	2.72088	3.27395	2.890448	2.754116	3.670142	3.391379
"AT1G52630"	5.035289	6.599793	4.151124	5.674987	7.037652	5.304096	5.688474	4.024621	4.523948	7.220211	5.224083	4.930854	4.097798	5.431818
"AT1G52640"	0.615828	0.62155	0.96183	0.871172	1.104267	0.767088	0.668771	0.823692	0.235884	0.500344	0.591297	0.989646	2.231192	0.766274
"AT1G52650"	0.549335	1.088856	0.82978	0.583504	0.670028	0.539078	0.192319	0.739003	0.946778	0.580597	0	0.72182	0	0.344205
"AT1G52660"	2.32246	2.388667	1.201806	3.041813	4.721196	0.479089	3.245398	1.593682	3.014577	1.955003	3.468827	1.060527	1.610206	1.537494
"AT1G52670"	76.342392	90.603577	71.203728	79.340256	84.027054	77.146858	70.861275	75.904015	68.477921	72.599754	68.743729	75.849876	68.263481	71.072464
"AT1G52680"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52690"	0	0.500254	10.516361	1.159788	0.611062	1.129286	2.058501	0	0.917005	3.930836	5.728621	0.370168	0	2.216843
"AT1G52695"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52696.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52700"	0.291958	2.642634	1.824081	6.218772	3.667035	1.251139	0.371328	1.847688	1.422084	3.093764	2.139549	1.806022	1.752985	2.7742
"AT1G52710"	11.718924	19.491001	17.640659	21.01206	22.44817	23.157103	23.225803	18.586773	19.968494	25.663113	16.76689	24.598963	18.357548	22.705124
"AT1G52720"	32.375923	41.066299	27.854177	34.23431	36.09346	36.013752	33.040707	25.411243	27.639647	33.92445	38.299877	33.919708	36.178623	38.898018
"AT1G52730"	24.027277	33.854351	23.906452	29.781708	34.304073	25.732477	27.391068	24.645741	29.915483	28.56525	27.912256	27.161312	23.121449	29.092651
"AT1G52740"	224.868286	241.577484	256.95816	219.157196	244.098114	288.812256	266.805634	268.447327	245.847885	226.49498	199.671677	272.535522	235.603378	288.209869
"AT1G52750"	11.462242	13.589182	7.694161	9.629032	15.519951	7.246693	9.032392	7.467895	8.221383	13.285403	11.108879	9.293228	9.816688	9.461866
"AT1G52760"	66.846115	96.458305	75.388603	91.338165	104.772804	87.248329	98.441666	80.710907	80.156799	84.796432	83.414925	79.294403	89.161476	87.283211
"AT1G52770"	0	0.510337	0.137972	0.419659	0.55312	0.178903	0.284015	0.549616	0.466843	0.57352	0.143321	0.461829	0.630786	0.069201
"AT1G52780"	9.41645	11.99221	9.493561	11.628248	9.773684	8.131375	9.17752	10.603843	9.22668	10.821451	11.011936	10.408957	11.00337	10.122497
"AT1G52790"	0	0.678161	0	0	0.728928	0	0	0	0	0.252967	0	0.121609	0	0.105645
"AT1G52800"	1.885255	0.954891	1.208165	0.998437	1.133363	0.838464	0.93096	0.664391	0.424179	3.481884	2.036824	0	0.488505	1.088459
"AT1G52810"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52820"	3.172634	23.419533	7.121681	6.549945	11.131602	1.28235	7.991307	2.872134	4.476706	32.131603	22.572971	2.319504	0	6.971509
"AT1G52825"	8.025369	12.246359	8.476257	12.74602	18.491385	13.956807	13.340144	12.615413	9.361528	13.157148	9.731652	13.653802	10.912359	15.64348
"AT1G52827"	7.630369	16.680542	20.662672	17.126448	21.09078	14.95345	22.524601	12.89336	7.871671	18.45042	14.915883	17.036993	13.112081	29.144535
"AT1G52830"	0.28782	0.753965	0.284877	0.396223	0.244482	0	0	0	0	0.292584	0.30196	0.387029	0	0.423816
"AT1G52840"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
