"position"	"cor_less_1seedling"	"cor_less_2seedling"	"cor_less_3seedling"	"cor_less_4seedling"	"cor_less_6seedling"	"cor_less_8seedling"	"cor_less_10seedling"
NA	NA	0.982996081983009	0.967558228209185	NA	0.942934406167605	0.898182529320703	0.757162043174717
NA	NA	0.969341747280863	0.961486591200294	0.960405242440683	0.954765884882369	0.884835987828566	0.727655268874822
NA	NA	0.981165215734489	0.959093793421719	0.962285778268049	0.950480852853943	0.892197175048942	0.737004124983928
NA	NA	0.98361729173434	0.974732725458783	0.961256167185336	0.936642309193467	0.869348740081484	0.775528683842023
NA	NA	NA	0.96242628804315	0.954468271970711	0.916879379106536	0.87733419004864	0.775606011113772
NA	NA	0.986706792667568	0.976893078177579	0.949901718851142	0.938274748134649	0.891302770539719	0.765068415057467
NA	NA	0.969972177533341	0.954474182925019	0.956551474708492	0.947943717205849	0.886365949077844	0.809677026037714
NA	NA	0.969087780891529	0.968269776633328	0.956572906587401	0.945312189175769	0.903536407701955	0.757162043174717
NA	NA	0.986810636286874	0.958953925051426	0.954332403035933	0.940653466649585	0.875040721866053	0.745078107226602
NA	NA	0.978586968941635	0.956028745295064	0.940384456212751	0.925367897780886	0.87846131619755	0.78160047051269
NA	NA	0.988720066944293	0.951660764765134	0.934690136056009	0.951933673206641	0.857141574634954	0.838124145152469
NA	NA	0.981413906797871	0.959175960876848	NA	0.938688604954929	0.884714286513024	0.81827332185293
NA	NA	0.983800799934212	0.953819937415051	0.947608723331823	0.953385710523332	0.85448885495477	0.825206805831382
NA	NA	NA	0.959020407200776	0.95728784937314	0.937387726343713	0.852918409911022	0.751567473870536
NA	NA	0.985390673892841	0.942351758306059	0.967038343155801	0.942754609819341	0.895508950708039	0.727655268874822
NA	NA	0.982996081983009	0.962614977941028	0.969332517474707	0.944997753554385	0.886365949077844	0.745078107226602
NA	NA	0.966632923396036	0.948079914537491	0.967585879752125	0.925877088352476	0.889282677422385	0.669933401970926
NA	NA	0.976536355144647	0.957904488636497	0.962114628067469	0.94612659781435	0.897622493589192	0.785517701574407
NA	NA	0.980137790020572	0.959489280447984	0.944539711376752	0.942911683712765	0.900619052641476	0.779538298593581
NA	NA	0.980226556964583	NA	0.956551474708492	0.940653466649585	0.871198866006402	0.769179467203823
NA	NA	0.980384637436129	0.968675179767504	0.966714223554998	0.918099573569031	0.897128726663665	0.76025681107543
NA	NA	0.97060950161181	0.967089118971861	0.962012781319891	0.929029904503433	0.866096169209952	0.737004124983928
NA	NA	0.968395084031809	0.970724507197221	0.960029514318367	0.943601922425903	0.871224387546784	0.78160047051269
NA	NA	0.98307376015548	0.969671848721459	NA	0.948855434430763	0.895968426003252	0.669933401970926
NA	NA	0.973641085496976	0.962746586851541	NA	0.926835682912221	0.903536407701955	0.769339880905543
NA	NA	0.986212328442792	0.959175960876848	0.956587088904645	0.925065410730614	0.889282677422385	0.775195323996255
NA	NA	0.963014250048783	0.962657520878498	0.969403672751518	0.930592209997287	0.893923216200442	0.768013121333783
NA	NA	0.968807704921305	0.964511115716081	0.971654447115735	0.90844861774873	0.878849054350772	0.799727634992998
NA	NA	0.980924205492407	0.967451692566228	0.97092509439347	0.925110593961327	0.882971681910953	0.775528683842023
NA	NA	0.971399924400031	0.95102803164625	0.966865889685967	0.909149768730919	0.844581018826977	0.838124145152469
NA	NA	0.969341747280863	0.945174119485898	0.96314956847369	0.925367897780886	0.853680669555239	0.785517701574407
NA	NA	0.966632923396036	0.969367721352074	0.950567226841287	0.918099573569031	0.882085691977976	0.769339880905543
NA	NA	0.975283742890314	0.95977954976244	0.956572906587401	0.93542270416199	0.903501463620398	0.809381637946705
NA	NA	0.960435875369609	0.966771842489236	0.966714223554998	0.922008564207178	0.875040721866053	0.80740202954417
NA	NA	0.970695307289799	0.974963452379057	0.958727706498255	0.934244273838279	0.897622493589192	0.825596528519876
NA	NA	0.961321206668341	0.974366044407855	0.956948097950192	0.955066709272691	0.893923216200442	0.775606011113772
NA	NA	0.969485308117924	0.976046142289246	0.931612922174034	0.949407707510397	0.870258463350046	0.81827332185293
NA	NA	NA	0.975156416419724	NA	0.952397766099784	0.88118802335093	0.779538298593581
NA	NA	0.968239677128562	0.969426243504006	0.959040783557986	0.942631209003763	0.834909434869501	0.775195323996255
NA	NA	0.968396809204706	0.953819937415051	0.971346476634587	0.95046562459408	0.841603262836768	0.809381637946705
NA	NA	NA	0.962657520878498	0.966396595901027	0.953558671505987	0.890687071523671	0.82159926861827
NA	NA	0.976400002568833	0.970943113644831	0.967125433089804	0.951933673206641	0.894038871928925	0.793228783977831
NA	NA	0.979624578884687	0.973042726124119	0.965703967385418	0.929029904503433	0.882252981501985	0.765068415057467
NA	NA	0.978648653673473	0.966327991947725	0.952010018542254	0.93542270416199	0.890872115437159	0.825206805831382
NA	NA	0.981503933786163	0.956197888486973	0.916791641112936	0.940185417596663	0.878849054350772	0.769179467203823
NA	NA	0.981165215734489	0.97829464903876	0.954332403035933	0.957848070961018	0.870258463350046	0.768013121333783
NA	NA	0.976536355144647	0.964125354382926	0.962012781319891	0.940506109568225	0.869984831173425	0.80740202954417
NA	NA	0.975283742890314	0.975176293894724	0.958727706498255	0.941091401906298	0.83292221602369	0.82159926861827
NA	NA	0.976887009713362	0.976784561725088	0.951656172640948	0.942227101520612	0.846085779357468	0.743096508581132
NA	NA	0.977124193429572	0.977036814190473	0.943662938868414	0.929480146686233	0.854463026489012	0.76563197373425
NA	NA	0.981850962700643	0.976955823166568	NA	0.938164883144865	0.882372624826684	0.725991601273746
