"position"	"cor_less_1seedling"	"cor_less_2seedling"	"cor_less_3seedling"	"cor_less_4seedling"	"cor_less_6seedling"	"cor_less_8seedling"
NA	NA	0.988125679144264	0.951660764765134	0.953960463185478	0.944349752052102	NA
NA	NA	0.986140867236222	0.962746586851541	0.939138679591378	0.942214211590206	NA
NA	NA	0.987188920721839	0.969426243504006	0.947861124107176	NA	NA
NA	NA	NA	0.970779086081139	NA	NA	NA
NA	NA	0.982996081983009	0.967558228209185	NA	0.942755679745559	NA
NA	NA	0.969341747280863	0.961486591200294	0.960405242440683	0.954274642729078	NA
NA	NA	0.981165215734489	0.959093793421719	0.962285778268049	0.949538502397165	NA
NA	NA	0.98361729173434	0.974732725458783	0.961256167185336	NA	NA
NA	NA	NA	0.96242628804315	0.954468271970711	NA	NA
NA	NA	0.986706792667568	0.976893078177579	0.949901718851142	NA	NA
NA	NA	0.969972177533341	0.954474182925019	0.956551474708492	0.94727131893351	NA
NA	NA	0.969087780891529	0.968269776633328	0.956572906587401	0.944349752052102	NA
NA	NA	0.986810636286874	0.958953925051426	0.954332403035933	NA	NA
NA	NA	0.978586968941635	0.956028745295064	0.940384456212751	NA	NA
NA	NA	0.988720066944293	0.951660764765134	0.934690136056009	NA	NA
NA	NA	0.981413906797871	0.959175960876848	NA	NA	NA
NA	NA	0.983800799934212	0.953819937415051	0.947608723331823	NA	NA
NA	NA	NA	0.959020407200776	0.95728784937314	NA	NA
NA	NA	0.985390673892841	0.942351758306059	0.967038343155801	NA	NA
NA	NA	0.982996081983009	0.962614977941028	0.969332517474707	NA	NA
NA	NA	0.966632923396036	0.948079914537491	0.967585879752125	NA	NA
NA	NA	0.976536355144647	0.957904488636497	0.962114628067469	NA	NA
NA	NA	0.980137790020572	0.959489280447984	0.944539711376752	0.942214211590206	NA
NA	NA	0.980226556964583	NA	0.956551474708492	NA	NA
NA	NA	0.980384637436129	0.968675179767504	0.966714223554998	0.916546387998149	NA
NA	NA	0.97060950161181	0.967089118971861	0.962012781319891	NA	NA
NA	NA	0.968395084031809	0.970724507197221	0.960029514318367	0.943160282416817	NA
NA	NA	0.98307376015548	0.969671848721459	NA	NA	NA
NA	NA	0.973641085496976	0.962746586851541	NA	NA	NA
NA	NA	0.986212328442792	0.959175960876848	0.956587088904645	NA	NA
NA	NA	0.963014250048783	0.962657520878498	0.969403672751518	NA	NA
NA	NA	0.968807704921305	0.964511115716081	0.971654447115735	NA	NA
NA	NA	0.980924205492407	0.967451692566228	0.97092509439347	NA	NA
NA	NA	0.971399924400031	0.95102803164625	0.966865889685967	NA	NA
NA	NA	0.969341747280863	0.945174119485898	0.96314956847369	NA	NA
NA	NA	0.966632923396036	0.969367721352074	0.950567226841287	0.916546387998149	NA
NA	NA	0.975283742890314	0.95977954976244	0.956572906587401	NA	NA
NA	NA	0.960435875369609	0.966771842489236	0.966714223554998	0.921654394690202	NA
NA	NA	0.970695307289799	0.974963452379057	0.958727706498255	NA	NA
NA	NA	0.961321206668341	0.974366044407855	0.956948097950192	NA	NA
NA	NA	0.969485308117924	0.976046142289246	0.931612922174034	NA	NA
NA	NA	NA	0.975156416419724	NA	NA	NA
NA	NA	0.968239677128562	0.969426243504006	0.959040783557986	NA	NA
NA	NA	0.968396809204706	0.953819937415051	0.971346476634587	0.949345922732944	NA
NA	NA	NA	0.962657520878498	0.966396595901027	NA	NA
NA	NA	0.976400002568833	0.970943113644831	0.967125433089804	NA	NA
NA	NA	0.979624578884687	0.973042726124119	0.965703967385418	NA	NA
NA	NA	0.978648653673473	0.966327991947725	0.952010018542254	NA	NA
NA	NA	0.981503933786163	0.956197888486973	0.916791641112936	NA	NA
NA	NA	0.981165215734489	0.97829464903876	0.954332403035933	NA	NA
NA	NA	0.976536355144647	0.964125354382926	0.962012781319891	0.939535622590231	NA
