Gene	BioVar_ZT2	BioVar_ZT4	BioVar_ZT6	BioVar_ZT8	BioVar_ZT10	BioVar_ZT12	BioVar_ZT14	BioVar_ZT16	BioVar_ZT18	BioVar_ZT20	BioVar_ZT22	BioVar_ZT24
AT2G14247	4.599814185	4.890030858	4.86955004	5.016084085	4.513362445	5.76503217	6.195116566	5.231663041	7.60263435	5.624519508	6.31202208	6.931622374
AT5G48010	3.211466092	4.04467178	3.924153695	2.668346208	2.843937957	4.490532388	3.610213246	2.802762951	2.660977645	4.344872542	3.304645842	1.205689123
AT4G37095	4.773933538	5.860348969	4.250470145	NA	4.303953044	NA	NA	NA	NA	NA	NA	NA
AT5G04238	3.649624026	3.041403647	1.37449987	2.168902621	2.26412217	2.14828917	1.841728611	3.117407991	0.78859814	1.703538576	3.114160922	2.798332625
AT1G25470	3.277899375	2.040985191	3.002352186	1.390830224	1.325428305	3.17300782	3.65750908	2.322127907	2.312350356	3.32352482	3.796816843	3.360729353
AT5G38940	4.446062526	3.104063195	3.295732907	2.645843257	2.560382694	3.11103019	2.248186889	3.288369272	2.040809107	3.427216182	4.175520239	3.445325511
AT4G29030	5.510487905	4.415901902	3.916103763	4.428203966	3.081405283	4.792394875	3.32460198	4.189564482	3.583579762	5.024321509	5.790614794	4.453732062
AT5G08760	4.236734948	4.127442895	4.374080073	3.411819756	2.470725476	1.774339943	3.461540659	0.356032098	1.633920357	1.696916438	0.882989866	2.224245827
AT4G33610	3.696163893	3.069707486	2.641141819	1.469372	1.754939319	2.508887955	2.726256978	2.603190245	1.628211394	3.631449188	2.784090589	2.600119636
AT5G18661	2.95641146	4.176304409	1.559073456	3.338144037	3.538872852	NA	NA	2.528734227	NA	NA	NA	NA
AT5G04790	3.882443386	2.211612425	3.672282177	2.650458567	2.077258769	3.558396773	NA	NA	3.234393498	4.416357871	4.35338755	2.614121041
AT3G61930	3.59462975	NA	NA	NA	NA	NA	NA	NA	2.156280637	2.81091639	2.038829792	0.982705741
AT4G30140	5.531968574	4.825231923	4.050448147	4.287629889	4.393886079	4.797293817	3.599551056	4.089214346	2.661818978	4.545889274	4.314675891	3.816092143
AT3G56970	4.084972794	NA	NA	NA	2.758647999	4.913016709	4.163039636	3.660202976	5.317300047	4.014821248	1.943474201	3.492619185
AT4G12490	4.348567753	3.35506782	4.549506029	4.006917876	3.711783471	4.305024149	3.732464097	3.829463157	4.636079473	NA	3.70242854	NA
AT3G25572	3.823292554	0.706123106	0.462884203	1.569536719	0.986987314	2.933577283	0.610872216	1.18666028	2.202959945	2.234555772	3.650700946	2.812534793
AT5G02760	4.034039145	-0.435724272	1.463407276	0.766602072	0.149921278	0.716568674	-0.601006616	-0.142368159	-0.4664408	0.161674227	-0.111708259	2.677554741
AT5G53486	3.843165266	2.334084666	2.137780027	2.274205178	1.744307084	2.001182025	0.804892829	0.713013397	2.132114393	1.698942159	1.957803766	2.754742857
AT1G55990	3.584253546	2.834803199	2.071075277	0.361572115	1.315125217	2.119458655	2.599520008	2.194536214	0.798732564	3.838652472	3.192535747	2.73108992
AT4G36850	2.974995538	NA	1.242136134	NA	NA	NA	3.617198128	4.963538685	4.474461833	5.03178095	5.10939681	4.445836035
AT3G02480	2.930046419	3.888766376	4.980516131	NA	5.973311911	4.430684149	NA	NA	3.177117637	NA	2.779199736	3.546202758
AT2G43018	3.756221884	3.614360993	3.246666905	3.894490862	2.11134998	4.156594479	2.129240561	0.485889768	0.638375005	-0.108741003	0.629880621	0.822277989
AT3G27027	2.853088707	1.757018644	NA	NA	NA	NA	1.625851902	2.465238704	1.66427531	2.328002726	2.23670503	0.98602815
AT4G31940	6.455126685	6.251492198	3.184892252	NA	NA	3.549745853	4.029069384	5.172206242	5.512954996	6.269635793	5.252836758	4.378289602
AT1G61275	2.73435159	2.711248143	3.247656811	NA	2.668101592	NA	NA	NA	NA	3.743841471	NA	2.90068656
AT2G30766	6.374971236	5.339380635	6.168822091	5.024021064	4.851749475	5.751301002	5.285314013	4.462223191	6.128864317	5.108021131	4.907195023	6.553535698
AT5G58390	2.813712932	1.623877441	1.919926479	1.415439044	2.791910318	2.755870115	1.649855459	1.850797529	0.350340059	1.424967407	1.984560866	2.614633024
AT2G01520	4.809564583	5.464485959	5.360172018	4.492984841	4.423131247	5.741293075	5.475000747	4.580584539	4.76304689	5.819585689	5.337115724	2.653935533
AT3G56980	3.692640741	NA	2.040727241	2.918638249	3.157195484	4.061533442	4.63414113	3.988355153	5.513807315	4.0814692	2.004266102	2.998532711
AT1G14960	2.568301345	2.926330304	3.287478565	2.581817297	2.406613144	4.595092902	3.706135757	2.904375596	3.001709914	3.286431359	3.189015344	1.869622519
AT3G22231	4.32247238	0.550089914	NA	0.340690587	4.987495557	7.071998349	5.629823314	6.010361802	5.022476501	6.395574215	3.833532468	2.795206243
AT5G64570	4.05442303	0.93999459	2.815915632	2.225620817	2.810307309	2.912473165	1.566894898	1.775438045	2.04521025	2.085206555	0.90959952	3.032947542
AT3G28220	5.479720774	3.459940776	3.948196553	2.468933029	NA	3.976934601	2.902473683	2.918686629	1.27058959	2.177374707	1.620279513	3.049704521
AT5G40590	3.335158895	3.211123289	2.407738793	NA	1.88308031	2.925795117	NA	NA	NA	NA	NA	NA
AT3G14620	3.558639664	-1.443928974	NA	-0.300685548	0.450068428	2.626385924	2.635422482	1.567013763	1.872296033	2.297012171	0.460579582	-0.751575631
AT1G53542	3.251567526	NA	2.306064184	NA	2.378845278	NA	NA	NA	NA	NA	NA	NA
AT5G20150	3.535023665	2.700021534	4.038526596	3.631560214	4.117642294	3.179397833	0.886410911	2.012629881	1.625431089	0.766732106	0.222102726	-1.119820757
AT5G56080	5.246533634	5.526983724	3.680534272	2.599118617	3.277202834	4.035461849	2.062179658	2.567223752	4.094054604	4.059418727	4.007133024	2.370054547
AT1G73830	3.133605771	1.023409297	1.710227876	1.565071278	1.201236743	1.171690436	-0.747261752	0.053147946	0.118976197	0.785655126	-0.684702799	2.255063589
AT5G64572	5.417200505	2.680780684	4.338896022	3.780791601	4.476572296	4.333333361	2.617935576	2.998412959	3.20281883	2.742872776	1.797038199	4.335961803
ATCG00710	4.317669115	1.323512091	2.384194751	2.836379813	1.491805518	2.415439244	1.98507974	-0.6296776	2.039916869	3.63556112	3.43091348	4.707781851
AT1G01580	5.642180025	5.280197968	NA	NA	NA	3.790202225	3.724978759	4.442865076	4.534706735	5.413656283	4.193897577	3.825077425
AT2G37770	2.930540037	NA	NA	NA	NA	-0.137209062	NA	2.108257533	2.182550582	3.155120823	2.986981207	0.819994811
AT5G59320	3.415385835	4.544122004	1.986091746	1.30169719	1.894560309	3.109287559	0.18585543	0.336770935	2.086394245	1.745163119	2.489890917	1.64737338
AT3G12820	2.746012146	NA	NA	NA	NA	1.602040415	2.074469291	1.494191014	2.96841355	2.468933933	2.256593087	0.457812244
AT3G49580	2.543337496	3.601387631	3.680974228	2.871139646	4.30184678	4.850100539	NA	0.345674522	1.659677138	1.937096666	NA	NA
AT5G09520	3.105187578	2.939466854	2.273363863	0.802303963	0.893181845	2.35759687	2.161100064	2.140956895	1.239021379	3.176590199	3.136342738	2.485426815
