Sample	type	ZT	seedling
RT_WT_ZT22_seedling10	RT	ZT22	seedling10
RT_WT_ZT22_seedling11	RT	ZT22	seedling11
RT_WT_ZT22_seedling12	RT	ZT22	seedling12
RT_WT_ZT22_seedling13	RT	ZT22	seedling13
RT_WT_ZT22_seedling14	RT	ZT22	seedling14
RT_WT_ZT22_seedling15	RT	ZT22	seedling15
RT_WT_ZT22_seedling16	RT	ZT22	seedling16
RT_WT_ZT24_seedling1	RT	ZT24	seedling1
RT_WT_ZT24_seedling2	RT	ZT24	seedling2
RT_WT_ZT24_seedling3	RT	ZT24	seedling3
RT_WT_ZT24_seedling4	RT	ZT24	seedling4
RT_WT_ZT24_seedling5	RT	ZT24	seedling5
RT_WT_ZT24_seedling6	RT	ZT24	seedling6
RT_WT_ZT24_seedling7	RT	ZT24	seedling7
RT_WT_ZT24_seedling8	RT	ZT24	seedling8
RT_WT_ZT24_seedling9	RT	ZT24	seedling9
RT_WT_ZT24_seedling10	RT	ZT24	seedling10
RT_WT_ZT24_seedling11	RT	ZT24	seedling11
RT_WT_ZT24_seedling12	RT	ZT24	seedling12
RT_WT_ZT24_seedling13	RT	ZT24	seedling13
RT_WT_ZT24_seedling14	RT	ZT24	seedling14
RT_WT_ZT24_seedling15	RT	ZT24	seedling15
RT_WT_ZT24_seedling16	RT	ZT24	seedling16
TPM_WT_ZT2_seedling_1	TPM	ZT2	seedling1
TPM_WT_ZT2_seedling_10	TPM	ZT2	seedling10
TPM_WT_ZT2_seedling_11	TPM	ZT2	seedling11
TPM_WT_ZT2_seedling_12	TPM	ZT2	seedling12
TPM_WT_ZT2_seedling_14	TPM	ZT2	seedling14
TPM_WT_ZT2_seedling_15	TPM	ZT2	seedling15
TPM_WT_ZT2_seedling_16	TPM	ZT2	seedling16
TPM_WT_ZT2_seedling_3	TPM	ZT2	seedling3
TPM_WT_ZT2_seedling_4	TPM	ZT2	seedling4
TPM_WT_ZT2_seedling_5	TPM	ZT2	seedling5
TPM_WT_ZT2_seedling_6	TPM	ZT2	seedling6
TPM_WT_ZT2_seedling_7	TPM	ZT2	seedling7
TPM_WT_ZT2_seedling_8	TPM	ZT2	seedling8
TPM_WT_ZT2_seedling_9	TPM	ZT2	seedling9
TPM_WT_ZT4_seedling_1	TPM	ZT4	seedling1
TPM_WT_ZT4_seedling_10	TPM	ZT4	seedling10
TPM_WT_ZT4_seedling_13	TPM	ZT4	seedling13
TPM_WT_ZT4_seedling_14	TPM	ZT4	seedling14
TPM_WT_ZT4_seedling_15	TPM	ZT4	seedling15
TPM_WT_ZT4_seedling_16	TPM	ZT4	seedling16
TPM_WT_ZT4_seedling_2	TPM	ZT4	seedling2
TPM_WT_ZT4_seedling_3	TPM	ZT4	seedling3
TPM_WT_ZT4_seedling_4	TPM	ZT4	seedling4
TPM_WT_ZT4_seedling_5	TPM	ZT4	seedling5
TPM_WT_ZT4_seedling_6	TPM	ZT4	seedling6
TPM_WT_ZT4_seedling_7	TPM	ZT4	seedling7
TPM_WT_ZT4_seedling_8	TPM	ZT4	seedling8
TPM_WT_ZT4_seedling_9	TPM	ZT4	seedling9
TPM_WT_ZT6_seedling_1	TPM	ZT6	seedling1
TPM_WT_ZT6_seedling_10	TPM	ZT6	seedling10
TPM_WT_ZT6_seedling_11	TPM	ZT6	seedling11
TPM_WT_ZT6_seedling_14	TPM	ZT6	seedling14
TPM_WT_ZT6_seedling_15	TPM	ZT6	seedling15
TPM_WT_ZT6_seedling_16	TPM	ZT6	seedling16
TPM_WT_ZT6_seedling_2	TPM	ZT6	seedling2
TPM_WT_ZT6_seedling_3	TPM	ZT6	seedling3
TPM_WT_ZT6_seedling_4	TPM	ZT6	seedling4
TPM_WT_ZT6_seedling_5	TPM	ZT6	seedling5
TPM_WT_ZT6_seedling_6	TPM	ZT6	seedling6
TPM_WT_ZT6_seedling_7	TPM	ZT6	seedling7
TPM_WT_ZT6_seedling_8	TPM	ZT6	seedling8
TPM_WT_ZT6_seedling_9	TPM	ZT6	seedling9
TPM_WT_ZT8_seedling_1	TPM	ZT8	seedling1
TPM_WT_ZT8_seedling_10	TPM	ZT8	seedling10
TPM_WT_ZT8_seedling_11	TPM	ZT8	seedling11
TPM_WT_ZT8_seedling_12	TPM	ZT8	seedling12
TPM_WT_ZT8_seedling_13	TPM	ZT8	seedling13
TPM_WT_ZT8_seedling_14	TPM	ZT8	seedling14
TPM_WT_ZT8_seedling_16	TPM	ZT8	seedling16
TPM_WT_ZT8_seedling_2	TPM	ZT8	seedling2
TPM_WT_ZT8_seedling_3	TPM	ZT8	seedling3
TPM_WT_ZT8_seedling_4	TPM	ZT8	seedling4
TPM_WT_ZT8_seedling_5	TPM	ZT8	seedling5
TPM_WT_ZT8_seedling_6	TPM	ZT8	seedling6
TPM_WT_ZT8_seedling_7	TPM	ZT8	seedling7
TPM_WT_ZT8_seedling_9	TPM	ZT8	seedling9
TPM_WT_ZT10_seedling_1	TPM	ZT10	seedling1
TPM_WT_ZT10_seedling_10	TPM	ZT10	seedling10
TPM_WT_ZT10_seedling_11	TPM	ZT10	seedling11
TPM_WT_ZT10_seedling_13	TPM	ZT10	seedling13
TPM_WT_ZT10_seedling_14	TPM	ZT10	seedling14
TPM_WT_ZT10_seedling_16	TPM	ZT10	seedling16
TPM_WT_ZT10_seedling_2	TPM	ZT10	seedling2
TPM_WT_ZT10_seedling_3	TPM	ZT10	seedling3
TPM_WT_ZT10_seedling_4	TPM	ZT10	seedling4
TPM_WT_ZT10_seedling_5	TPM	ZT10	seedling5
TPM_WT_ZT10_seedling_6	TPM	ZT10	seedling6
TPM_WT_ZT10_seedling_7	TPM	ZT10	seedling7
TPM_WT_ZT10_seedling_8	TPM	ZT10	seedling8
TPM_WT_ZT10_seedling_9	TPM	ZT10	seedling9
TPM_WT_ZT12_seedling_1	TPM	ZT12	seedling1
TPM_WT_ZT12_seedling_10	TPM	ZT12	seedling10
TPM_WT_ZT12_seedling_11	TPM	ZT12	seedling11
TPM_WT_ZT12_seedling_12	TPM	ZT12	seedling12
TPM_WT_ZT12_seedling_13	TPM	ZT12	seedling13
TPM_WT_ZT12_seedling_14	TPM	ZT12	seedling14
TPM_WT_ZT12_seedling_15	TPM	ZT12	seedling15
TPM_WT_ZT12_seedling_16	TPM	ZT12	seedling16
TPM_WT_ZT12_seedling_2	TPM	ZT12	seedling2
TPM_WT_ZT12_seedling_5	TPM	ZT12	seedling5
TPM_WT_ZT12_seedling_6	TPM	ZT12	seedling6
TPM_WT_ZT12_seedling_7	TPM	ZT12	seedling7
TPM_WT_ZT12_seedling_8	TPM	ZT12	seedling8
TPM_WT_ZT12_seedling_9	TPM	ZT12	seedling9
TPM_WT_ZT14_seedling_1	TPM	ZT14	seedling1
TPM_WT_ZT14_seedling_11	TPM	ZT14	seedling11
TPM_WT_ZT14_seedling_12	TPM	ZT14	seedling12
TPM_WT_ZT14_seedling_13	TPM	ZT14	seedling13
TPM_WT_ZT14_seedling_14	TPM	ZT14	seedling14
TPM_WT_ZT14_seedling_15	TPM	ZT14	seedling15
TPM_WT_ZT14_seedling_16	TPM	ZT14	seedling16
TPM_WT_ZT14_seedling_2	TPM	ZT14	seedling2
TPM_WT_ZT14_seedling_4	TPM	ZT14	seedling4
TPM_WT_ZT14_seedling_5	TPM	ZT14	seedling5
TPM_WT_ZT14_seedling_6	TPM	ZT14	seedling6
TPM_WT_ZT14_seedling_7	TPM	ZT14	seedling7
TPM_WT_ZT14_seedling_8	TPM	ZT14	seedling8
TPM_WT_ZT14_seedling_9	TPM	ZT14	seedling9
TPM_WT_ZT16_seedling_1	TPM	ZT16	seedling1
TPM_WT_ZT16_seedling_10	TPM	ZT16	seedling10
TPM_WT_ZT16_seedling_11	TPM	ZT16	seedling11
TPM_WT_ZT16_seedling_13	TPM	ZT16	seedling13
TPM_WT_ZT16_seedling_14	TPM	ZT16	seedling14
TPM_WT_ZT16_seedling_15	TPM	ZT16	seedling15
TPM_WT_ZT16_seedling_16	TPM	ZT16	seedling16
TPM_WT_ZT16_seedling_2	TPM	ZT16	seedling2
TPM_WT_ZT16_seedling_3	TPM	ZT16	seedling3
TPM_WT_ZT16_seedling_4	TPM	ZT16	seedling4
TPM_WT_ZT16_seedling_5	TPM	ZT16	seedling5
TPM_WT_ZT16_seedling_6	TPM	ZT16	seedling6
TPM_WT_ZT16_seedling_7	TPM	ZT16	seedling7
TPM_WT_ZT16_seedling_9	TPM	ZT16	seedling9
TPM_WT_ZT18_seedling_1	TPM	ZT18	seedling1
TPM_WT_ZT18_seedling_10	TPM	ZT18	seedling10
TPM_WT_ZT18_seedling_11	TPM	ZT18	seedling11
TPM_WT_ZT18_seedling_12	TPM	ZT18	seedling12
TPM_WT_ZT18_seedling_13	TPM	ZT18	seedling13
TPM_WT_ZT18_seedling_14	TPM	ZT18	seedling14
TPM_WT_ZT18_seedling_15	TPM	ZT18	seedling15
TPM_WT_ZT18_seedling_16	TPM	ZT18	seedling16
TPM_WT_ZT18_seedling_2	TPM	ZT18	seedling2
TPM_WT_ZT18_seedling_3	TPM	ZT18	seedling3
TPM_WT_ZT18_seedling_5	TPM	ZT18	seedling5
TPM_WT_ZT18_seedling_7	TPM	ZT18	seedling7
TPM_WT_ZT18_seedling_8	TPM	ZT18	seedling8
TPM_WT_ZT18_seedling_9	TPM	ZT18	seedling9
TPM_WT_ZT20_seedling_1	TPM	ZT20	seedling1
TPM_WT_ZT20_seedling_10	TPM	ZT20	seedling10
TPM_WT_ZT20_seedling_11	TPM	ZT20	seedling11
TPM_WT_ZT20_seedling_12	TPM	ZT20	seedling12
TPM_WT_ZT20_seedling_13	TPM	ZT20	seedling13
TPM_WT_ZT20_seedling_14	TPM	ZT20	seedling14
TPM_WT_ZT20_seedling_15	TPM	ZT20	seedling15
TPM_WT_ZT20_seedling_16	TPM	ZT20	seedling16
TPM_WT_ZT20_seedling_3	TPM	ZT20	seedling3
TPM_WT_ZT20_seedling_4	TPM	ZT20	seedling4
TPM_WT_ZT20_seedling_5	TPM	ZT20	seedling5
TPM_WT_ZT20_seedling_7	TPM	ZT20	seedling7
TPM_WT_ZT20_seedling_8	TPM	ZT20	seedling8
TPM_WT_ZT20_seedling_9	TPM	ZT20	seedling9
TPM_WT_ZT22_seedling_1	TPM	ZT22	seedling1
TPM_WT_ZT22_seedling_10	TPM	ZT22	seedling10
TPM_WT_ZT22_seedling_11	TPM	ZT22	seedling11
TPM_WT_ZT22_seedling_12	TPM	ZT22	seedling12
TPM_WT_ZT22_seedling_13	TPM	ZT22	seedling13
TPM_WT_ZT22_seedling_14	TPM	ZT22	seedling14
TPM_WT_ZT22_seedling_15	TPM	ZT22	seedling15
