tracking_id	FPKM_ZT0_seedling8	TPM_ZT0_seedling8	Raw_ZT0_seedling8
ERCC-00165	3.164182	4.397756	7
ERCC-00168	0	0	0
ERCC-00170	0	0	0
ERCC-00171	242.68663	337.299255	310
AT1G01010	11.792202	16.389454	52
AT1G01020	5.089121	7.073143	24
AT1G01030	3.319608	4.613775	16
AT1G01040	8.489981	11.799844	133
AT1G01046	8.022857	11.15061	0
AT1G01050	106.607994	148.169678	248
AT1G01060	313.902802	436.27948	2531
AT1G01070	6.577506	9.141781	24
AT1G01073	0	0	0
AT1G01080	57.478195	79.886368	197
AT1G01090	124.182121	172.595184	515
AT1G01100	366.06015	508.770599	579
AT1G01110	3.364176	4.675718	16
AT1G01115	0	0	0
AT1G01120	42.361652	58.876568	204
AT1G01130	0	0	1
AT1G01140	33.720974	46.867275	143
AT1G01150	0	0	0
AT1G01160	28.935873	40.216679	70
AT1G01170	88.894234	123.550125	94
AT1G01180	16.72607	23.246817	51
AT1G01183	0	0	0
AT1G01190	4.765486	6.623335	22
AT1G01200	2.817733	3.916241	8
AT1G01210	12.745461	17.714348	20
AT1G01220	8.167338	11.351418	72
AT1G01225	3.464986	4.81583	9
AT1G01230	21.416117	29.765301	46
AT1G01240	11.86127	16.485449	45
AT1G01250	0	0	0
AT1G01260	7.191636	9.995334	47
AT1G01270	0	0	0
AT1G01280	0	0	0
AT1G01290	8.4189	11.701054	23
AT1G01300	22.320692	31.022528	105
AT1G01305	0	0	0
AT1G01310	0	0	0
AT1G01320	79.514656	110.513863	1224
AT1G01340	5.949677	8.269189	37
AT1G01350	15.406135	21.412296	55
AT1G01355	0	0	0
AT1G01360	7.775361	10.806626	20
AT1G01370	3.835986	5.331465	10
AT1G01380	0.695271	0.966326	1
AT1G01390	2.688188	3.736192	11
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	5.196238	7.222018	20
AT1G01430	62.012825	86.18885	260
AT1G01440	11.52109	16.012648	66
AT1G01448	7.810135	10.854957	20
AT1G01450	0	0	0
AT1G01453	0.322378	0.448059	1
AT1G01460	0	0	0
AT1G01470	39.021225	54.233852	72
AT1G01471	0	0	0
AT1G01480	0.593914	0.825455	3
AT1G01490	77.302025	107.438629	228
AT1G01500	1.557382	2.164535	6
AT1G01510	23.411711	32.538887	130
AT1G01520	6.011615	8.355274	15
AT1G01530	0	0	0
AT1G01540	57.544895	79.979073	280
AT1G01550	87.045692	120.980911	322
AT1G01560	0	0	0
AT1G01570	0.944574	1.312822	4
AT1G01580	36.770882	51.106205	232
AT1G01590	0.186721	0.259515	1
AT1G01600	6.559471	9.116714	36
AT1G01610	29.564728	41.090694	138
AT1G01620	470.860474	654.427917	1560
AT1G01630	39.777721	55.285278	122
AT1G01640	3.483592	4.841689	9
AT1G01650	10.500224	14.593791	58
AT1G01660	0.462701	0.643087	2
AT1G01670	1.940642	2.697211	7
AT1G01680	0	0	0
AT1G01690	3.8287	5.321339	17
AT1G01695	0	0	0
AT1G01700	0.54172	0.752913	5
AT1G01710	14.824548	20.603977	94
AT1G01720	47.997967	66.710228	160
AT1G01725	13.936852	19.370207	16
AT1G01730	28.041458	38.973568	65
AT1G01740	4.615551	6.414949	22
AT1G01750	11.233313	15.612679	30
AT1G01760	3.588098	4.986937	12
AT1G01770	12.211308	16.971951	70
AT1G01780	11.203564	15.571331	23
AT1G01790	48.103634	66.857094	473
AT1G01800	55.425068	77.032822	154
AT1G01810	0.601648	0.836203	1
AT1G01820	40.437714	56.202572	110
AT1G01830	5.054359	7.024827	37
AT1G01840	0	0	0
AT1G01860	10.606594	14.74163	30
AT1G01870	0	0	0
AT1G01880	1.319455	1.833851	7
AT1G01890	0	0	0
AT1G01900	3.850695	5.351908	23
AT1G01910	24.725006	34.364182	97
AT1G01920	9.841902	13.67882	49
AT1G01930	7.180042	9.979219	36
AT1G01940	13.901019	19.320406	26
AT1G01950	7.791239	10.828694	61
AT1G01960	22.842091	31.7472	319
AT1G01970	19.187506	26.667858	81
AT1G01980	0	0	0
AT1G01990	24.069439	33.453037	72
AT1G02000	7.731434	10.745574	35
AT1G02010	5.744148	7.983534	37
AT1G02020	11.117904	15.452276	64
AT1G02030	0.24021	0.333857	2
AT1G02040	0	0	0
AT1G02050	7.285833	10.126252	25
AT1G02060	6.189323	8.602263	34
AT1G02065	0.961702	1.336627	4
AT1G02070	0	0	0
AT1G02074	2.508578	3.48656	1
AT1G02080	18.734692	26.038509	358
AT1G02090	30.410435	42.266102	94
AT1G02100	41.448864	57.607922	143
AT1G02110	20.430956	28.39607	124
AT1G02120	40.477917	56.258442	208
AT1G02130	34.998222	48.642464	91
AT1G02140	90.0438	125.147858	180
AT1G02145	15.154915	21.063137	65
AT1G02150	74.09037	102.974899	361
AT1G02160	27.305933	37.951294	35
AT1G02170	18.405153	25.5805	63
AT1G02180	5.461413	7.590573	13
AT1G02190	0.010833	0.015056	0
AT1G02205	4.73645	6.58298	28
AT1G02210	0	0	0
AT1G02220	7.884634	10.958501	28
AT1G02228	0	0	0
AT1G02230	0.479033	0.665787	2
AT1G02250	0.21374	0.297068	1
AT1G02260	9.727644	13.520017	54
AT1G02270	5.470718	7.603507	24
AT1G02280	99.12117	137.764084	291
AT1G02290	4.203036	5.841612	18
AT1G02300	5.309515	7.379457	19
AT1G02305	51.080624	70.994675	181
AT1G02310	0.284111	0.394873	1
AT1G02320	0	0	0
AT1G02330	23.532982	32.707439	64
AT1G02335	18.002361	25.020678	39
AT1G02340	5.001053	6.95074	17
AT1G02350	5.224467	7.261253	9
AT1G02360	27.224213	37.837715	71
AT1G02370	3.555532	4.941674	16
AT1G02380	1.745104	2.425442	5
AT1G02390	0.660037	0.917356	3
AT1G02391	0	0	0
AT1G02400	5.595898	7.777489	19
AT1G02405	0.704699	0.97943	1
AT1G02410	16.393595	22.784723	48
AT1G02420	3.394961	4.718504	9
AT1G02430	0.66882	0.929562	4
AT1G02440	0.613893	0.853222	0
AT1G02450	0	0	0
AT1G02460	0.657817	0.91427	3
AT1G02470	0.729158	1.013424	2
AT1G02475	46.783066	65.021698	111
AT1G02480	0	0	0
AT1G02490	0	0	0
AT1G02500	479.253998	666.093689	1860
AT1G02510	0	0	0
AT1G02520	6.002207	8.342199	58
AT1G02530	0.028784	0.040006	0
AT1G02540	0	0	0
AT1G02550	0	0	0
AT1G02560	198.984116	276.559113	666
AT1G02570	2.101497	2.920777	5
AT1G02575	0.436859	0.60717	1
AT1G02580	0	0	0
AT1G02590	0	0	0
AT1G02600	0	0	0
AT1G02610	5.395329	7.498726	13
AT1G02620	0	0	0
AT1G02630	0.243816	0.338869	1
AT1G02640	18.191895	25.2841	119
AT1G02650	0.512211	0.7119	2
AT1G02660	2.792754	3.881524	18
AT1G02670	0.192587	0.267668	1
AT1G02680	9.950922	13.830341	23
AT1G02690	12.343256	17.15534	61
AT1G02700	0.35802	0.497596	1
AT1G02710	0	0	4
AT1G02720	7.508451	10.43566	36
AT1G02730	15.590162	21.668068	153
AT1G02740	6.331109	8.799324	23
AT1G02750	10.495299	14.586946	27
AT1G02760	0	0	0
AT1G02770	0	0	0
AT1G02780	571.799866	794.718994	1489
AT1G02790	0	0	0
AT1G02800	2.892573	4.020258	13
AT1G02810	8.803738	12.235922	43
AT1G02813	0	0	0
