Name	entropyloG2
AT2G45460	5.918023678
AT2G45190	5.270143895
AT2G45430	4.826368631
AT2G45420	5.081272359
AT2G45400	5.700201531
AT2G45270	5.881879692
AT2G45450	5.871526655
AT2G45240	5.931764028
AT2G45440	5.865885995
AT2G45200	5.908416717
AT2G45280	5.893223189
AT2G45220	4.829337716
AT2G47620	5.936299055
AT2G47590	5.716544416
AT2G47550	5.10531249
AT2G47490	5.802317023
AT5G12460	5.213019467
AT5G12470	5.898533185
AT5G12480	5.939361674
AT2G33130	5.826367583
AT2G33100	2.826636817
AT2G33080	5.561917289
AT2G33070	2.87440429
AT2G33240	5.682400278
AT2G33210	5.743474161
AT2G33180	5.485694521
AT2G33170	5.899604163
AT2G33120	5.911997504
AT2G33150	5.826015516
AT2G33220	5.961051953
AT2G47560	5.834794532
AT2G47540	4.564329245
AT2G47520	5.858369265
AT2G47500	5.745165212
AT2G47470	5.86458879
AT2G47440	5.753853841
AT5G12390	5.543688404
AT5G12400	5.93089526
AT5G12410	5.865303944
AT5G12420	4.692202206
AT5G12430	5.907739598
AT5G12440	5.86471745
AT1G67760	5.936330536
AT1G67710	5.595522165
AT1G67680	5.914590143
AT1G67660	5.768531536
AT1G67810	4.991832723
AT1G67820	5.576886038
AT1G67740	5.576471546
AT1G67750	5.389555714
AT1G67800	5.723431754
AT1G67700	5.609318895
AT1G67730	5.775317121
AT1G67850	5.866619437
AT1G67840	5.774244665
AT1G67720	5.858549046
AT5G12270	5.698923738
AT5G12290	5.921202736
AT5G12310	5.895658627
AT5G12330	5.758366706
AT5G12340	5.330380414
AT5G12350	5.958951682
AT5G12370	5.95606009
AT1G44575	5.683646095
AT1G67830	5.572892928
AT4G16143	5.920981842
AT1G58842	5.739793024
AT1G59124	5.721018091
AT3G29796	5.913145655
AT3G29970	5.815736555
AT3G30140	5.838407585
AT3G29810	4.955067336
AT4G25620	5.800532752
AT4G25610	5.787118793
AT4G25600	5.916486106
AT4G25590	2.919052643
AT4G25550	5.921673725
AT4G25540	5.920168437
AT4G25520	5.939392153
AT4G25570	5.817055712
AT1G44446	5.584067916
AT1G44414	5.595191546
AT1G44350	5.733927916
AT1G44222	5.168602677
AT4G17230	5.761246496
AT4G15415	5.955982896
AT4G16760	5.849902873
AT4G17490	5.030270327
AT4G17615	5.860823147
AT4G17500	5.491050368
AT4G15440	5.189308818
AT4G14680	5.690915363
AT4G14110	5.923527044
AT4G15340	4.839338405
AT4G14150	5.835394015
AT4G16360	5.874350708
AT4G14385	5.921667233
AT4G16563	5.313373738
AT4G17740	5.752344032
AT4G17245	5.05053388
AT4G14400	4.745485271
AT4G17070	5.886653344
AT4G14060	3.686398195
AT4G16570	5.94993461
AT4G14500	5.927676322
AT4G14960	5.830061785
AT4G16430	5.931681665
AT4G17250	5.799236217
AT4G14950	5.850217606
AT4G14360	5.898233984
AT4G15210	4.923790907
AT4G16780	5.799124013
AT4G15550	5.337862377
AT4G17730	5.919965658
AT4G17270	5.931163062
AT4G16845	5.9240474
AT4G15560	5.818258308
AT4G14990	5.886114424
