"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"	"Stable"
"AT1G47400"	"AT1G47400"	0.986523483429761	0	0	26.2857142857143	0.980478406281809	-0.00604507714795156	0.986523483429761	0.978980104196335
"ATCG00680"	"ATCG00680"	0.976265561716951	0	0	27.1428571428571	0.970573194118901	-0.00569236759805021	0.976265561716951	0.969041300647721
"AT1G05240"	"AT1G05240"	0.961659971275065	0	0	28.7857142857143	0.956584918323492	-0.00507505295157273	0.961659971275065	0.95499423298122
"AT4G22513"	"AT4G22513"	0.936482255729782	0	0	205.071428571429	0.940174673104446	0.00369241737466475	0.936482255729782	0.937748990588247
"AT1G55010"	"AT1G55010"	0.931799741507909	0	0	19.4285714285714	0.921812616449295	-0.0099871250586138	0.931799741507909	0.920689747498169
"AT1G25145"	"AT1G25145"	0.895493110626249	1	1	9	0.867996201329535	-0.027496909296714	0.895493110626249	0.868540930877276
"AT4G22520"	"AT4G22520"	0.892269879798898	0	0	118.142857142857	0.894908906986184	0.00263902718728601	0.892269879798898	0.892583547344973
"ATCG00300"	"ATCG00300"	0.890905373020829	0	0	30.5	0.886403572240713	-0.00450180078011619	0.890905373020829	0.88475829145354
"AT5G56795"	"AT5G56795"	0.888472344427084	1	1	10.6428571428571	0.866010886550502	-0.0224614578765819	0.888472344427084	0.866076049296326
"ATCG00140"	"ATCG00140"	0.86495058711528	0	0	78.9285714285714	0.866354969736964	0.0014043826216845	0.86495058711528	0.864147195292477
"AT5G16023"	"AT5G16023"	0.834146684388122	1	1	11.4285714285714	0.813581730769231	-0.0205649536188908	0.834146684388122	0.813466274061941
"ATCG01050"	"ATCG01050"	0.819387317437153	1	1	9.57142857142857	0.79383792861182	-0.0255493888253326	0.819387317437153	0.79419718001943
"AT4G22517"	"AT4G22517"	0.817662201752275	0	0	227.571428571429	0.821496165575666	0.00383396382339102	0.817662201752275	0.819057002445302
"ATCG00490"	"ATCG00490"	0.804800875558435	0	0	119.857142857143	0.80747544550727	0.00267456994883508	0.804800875558435	0.80514670084115
"ATCG01100"	"ATCG01100"	0.79497842290132	1	1	12.5	0.776615384615385	-0.0183630382859352	0.79497842290132	0.776290221685909
"ATCG00650"	"ATCG00650"	0.786871228258713	1	1	7.35714285714286	0.75209002516006	-0.0347812030986528	0.786871228258713	0.753328496974653
"AT4G05631"	"AT4G05631"	0.786514000317838	1	1	10.4285714285714	0.763485716760252	-0.0230282835575854	0.786514000317838	0.763604862904267
"AT3G41768"	"AT3G41768"	0.772102193211005	0	0	5206.85714285714	0.777169866796282	0.00506767358527723	0.772102193211005	0.774613207498119
"AT1G19510"	"AT1G19510"	0.747737929566148	1	1	4.92857142857143	0.693293264181733	-0.0544446653844156	0.747737929566148	0.696404446690208
"AT5G18661"	"AT5G18661"	0.746543949920191	1	1	18.7142857142857	0.735980062126557	-0.0105638877936344	0.746543949920191	0.734912122959719
"ATCG00710"	"ATCG00710"	0.731391565471529	0	0	60.5714285714286	0.73166864063313	0.00027707516160107	0.731391565471529	0.729568228803889
"AT1G31258"	"AT1G31258"	0.716666255558342	1	1	8.5	0.687250465797179	-0.0294157897611634	0.716666255558342	0.687977945865344
"ATCG00020"	"ATCG00020"	0.69755577022788	0	0	218	0.701333091620104	0.00377732139222407	0.69755577022788	0.698899323006995
"ATCG00430"	"ATCG00430"	0.6930707096856	1	1	7.57142857142857	0.659418900785935	-0.0336518088996647	0.6930707096856	0.660549811248243
"ATCG00040"	"ATCG00040"	0.686908976194963	0	0	26.3571428571429	0.680894167707572	-0.00601480848739092	0.686908976194963	0.679392982892521
"AT1G49938"	"AT1G49938"	0.677946872706194	1	1	6.28571428571429	0.636363636363636	-0.041583236342558	0.677946872706194	0.638249920868125
"ATCG00130"	"ATCG00130"	0.676170691743323	0	0	55.2142857142857	0.675977490374783	-0.000193201368540296	0.676170691743323	0.673921866786508
"AT2G12905"	"AT2G12905"	0.673520090109231	1	1	5.14285714285714	0.621557454890788	-0.0519626352184431	0.673520090109231	0.624432253573932
"AT3G56970"	"AT3G56970"	0.672092203499378	1	1	16.4285714285714	0.659345644903301	-0.0127465585960774	0.672092203499378	0.65848557914622
"AT2G31980"	"AT2G31980"	0.659068774734423	1	1	4.92857142857143	0.604624109350007	-0.0544446653844156	0.659068774734423	0.607735291858482
"ATCG00720"	"ATCG00720"	0.657590767079148	0	0	37.7857142857143	0.654944992115028	-0.00264577496411964	0.657590767079148	0.653122946964427
"AT5G46871"	"AT5G46871"	0.647739193709505	1	1	6.57142857142857	0.608186709320925	-0.0395524843885805	0.647739193709505	0.609879588877415
"ATCG00440"	"ATCG00440"	0.643341255355848	1	1	9.42857142857143	0.617327117327117	-0.0260141380287304	0.643341255355848	0.617730630563622
"ATCG01130"	"ATCG01130"	0.639747607206746	1	1	8	0.608173076923077	-0.0315745302836689	0.639747607206746	0.609106151326719
"AT1G47395"	"AT1G47395"	0.626718283903137	0	0	52.1428571428571	0.626211874070759	-0.000506409832377278	0.626718283903137	0.624186079859992
"AT3G49110"	"AT3G49110"	0.621080681984426	1	1	5.57142857142857	0.573509330905781	-0.0475713510786456	0.621080681984426	0.575965912051801
"AT3G13403"	"AT3G13403"	0.618610678486784	1	1	8.78571428571429	0.590318135826762	-0.0282925426600223	0.618610678486784	0.590938639980532
"AT5G45469"	"AT5G45469"	0.610388658660996	1	1	10	0.586153846153846	-0.0242348125071501	0.610388658660996	0.586387899816867
"AT2G47880"	"AT2G47880"	0.607117124034821	1	1	9.85714285714286	0.582456820642076	-0.0246603033927454	0.607117124034821	0.582731397246582
"AT1G33640"	"AT1G33640"	0.602755208178624	1	1	9.57142857142857	0.577205819353291	-0.0255493888253326	0.602755208178624	0.577565070760901
"AT5G15120"	"AT5G15120"	0.600439455836972	1	1	5.85714285714286	0.555438612547476	-0.0450008432894958	0.600439455836972	0.557650383427864
"AT5G50335"	"AT5G50335"	0.599942465696776	1	1	15.9285714285714	0.586634946022828	-0.0133075196739474	0.599942465696776	0.585828305130306
"ATCG01010"	"ATCG01010"	0.596565529385462	1	1	6.14285714285714	0.553896076881474	-0.0426694525039879	0.596565529385462	0.555885810544194
"AT3G05727"	"AT3G05727"	0.577124818667659	0	0	353.5	0.581418357574757	0.00429353890709803	0.577124818667659	0.578935425388802
"ATCG00280"	"ATCG00280"	0.576369491553556	0	0	32.9285714285714	0.57257762400313	-0.00379186755042554	0.576369491553556	0.570864730527415
"AT1G24881"	"AT1G24881"	0.558971536935592	1	1	10.1428571428571	0.535150229655288	-0.023821307280304	0.558971536935592	0.535344901868133
"AT1G72270"	"AT1G72270"	0.552259578815851	1	1	10.5714285714286	0.529611732314435	-0.0226478465014164	0.552259578815851	0.529694646357862
"AT1G03660"	"AT1G03660"	0.538614094423167	1	1	7.21428571428571	0.503042688122582	-0.035571406300585	0.538614094423167	0.504356417384978
"ATCG00540"	"ATCG00540"	0.536804763696992	1	1	12.5714285714286	0.518575174825175	-0.0182295888718166	0.536804763696992	0.518237302427688
"AT4G22490"	"AT4G22490"	0.533958335643319	0	0	153.071428571429	0.53716440919565	0.00320607355233097	0.533958335643319	0.53478504513872
"ATCG00330"	"ATCG00330"	0.531138920064422	0	0	53.7857142857143	0.530804490011487	-0.000334430052935119	0.531138920064422	0.528762316774106
