Name	seedling1	seedling2	seedling4	seedling5	seedling6	seedling7	seedling8	seedling9	seedling10	seedling12	seedling13	seedling14	seedling15	seedling16
AT1G01220	8.92073	8.60121	10.1271	11.0537	9.68415	9.16027	9.75795	8.83821	8.85894	8.14495	8.91266	8.22122	6.82101	8.17409
AT1G01225	4.6374	5.14514	2.48884	5.56277	7.72375	4.93029	4.49423	6.06875	6.01247	6.79827	7.45149	6.43386	5.41521	5.36978
AT1G01230	28.9182	30.8414	38.8055	33.7627	37.7916	35.7451	32.088	33.31	36.6669	28.6196	30.3408	40.1736	33.9174	38.5166
AT1G01240	11.49115	18.34328	16.4478	17.2108	19.34713	18.41481	16.57269	17.36111	15.05728	16.74819	16.16322	16.17449	16.93097	18.50545
AT1G01250	1.76899	1.11812	1.45331	1.4087	0.534194	0.617196	0	1.54644	0.930611	0.913306	0.874126	0.686434	1.20843	1.72491
AT1G01260	6.38231	11.59652	12.64883	8.86692	8.50169	9.30312	9.91948	10.202603	9.2037	7.082855	8.63714	11.38297	8.17892389	6.810780161
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	12.78709	17.22924	15.61699	13.9088	12.89401	14.88278	10.86593	12.71731	16.6153	14.34997	15.35563	15.83807	11.62501	17.34379
AT1G01300	24.3227	25.8666	24.9599	24.8688	26.9221	21.5619	23.1706	26.0184	28.7511	25.1869	30.7661	25.0604	18.875	17.7684
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	0	0	0	0.0557234	0	0.0793945	0.048376	0	0	0.0799939	0	0
AT1G01320	76.0348	84.8045	84.573	93.6054	81.2593	84.2298	93.0701	63.2129	74.2341	80.1955	73.1477	66.3747	63.7008	55.7978
AT1G01340	3.23646	5.94931	6.62442	7.665582	6.89322	5.27651	7.93724	6.29937	5.97603	2.69029	6.49568	6.247856	4.365183	5.5857642
AT1G01350	12.4337	19.2827	23.0147	17.5821	15.3924	17.2091	17.882	15.7639	17.7885	15.6616	17.7665	18.5056	17.0925	18.8995
AT1G01355	0	0.643464	0	0.22209	0.250572	0	0	0.27319	0.175996	0.264382	0.362832	0	0.325062	0
AT1G01360	11.8274	20.8635	13.2887	17.8238	17.337	16.3958	11.7971	21.1915	23.0499	22.5574	17.6541	23.7578	18.0212	19.9486
AT1G01370	4.268	6.58989	6.81731	5.996788	4.90441	4.10551	6.38396	6.51927	7.22182	6.46152	9.68051	11.01652	6.781078	5.609379
AT1G01380	4.39268	2.11823	7.4705	4.43501	4.34976	1.51319	1.25508	4.62013	6.08102	3.01793	5.31792	5.55692	2.93153	2.89573
AT1G01390	4.17922	4.05012	3.69383	3.4052	4.32154	2.46081	3.00941	3.05236	3.51403	2.10356	2.708	2.98881	2.676	3.87379
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	5.82448	6.64373	7.27013	6.93243	4.60218	5.97616	5.84164	8.07917	6.77956	8.53868	5.17828	6.17185	6.21753	6.83074
AT1G01430	55.9438	74.5109	69.558	65.0539	56.9328	70.15	73.4461	55.921	54.7073	60.5734	51.3598	51.6813	57.8038	57.243
AT1G01440	11.8	12.942	13.381	12.1572	12.3005	13.2343	14.7749	10.105	10.9986	10.614	10.924	12.6495	9.83519	10.2801
AT1G01448	12.32747	14.28887	17.62183	15.014287	10.89625	14.47465	13.6729	9.84579	11.460933	11.9818	13.06485	12.64258	13.38784	9.874214
AT1G01450	0.362148	0.637706	1.04447	0.053523	0.247728	0.299558	0.297843	0.190317	0.0814862	0.121972	0.248101	0.0655189	0.0732359	0
AT1G01453	0.994535	0.363132	0.423415	0.617507	0.956849	0.71968	0.329114	0.411439	0.283343	0.653576	0.720812	0.793463	0.52175	0.272604
AT1G01460	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01470	33.857	42.9501	43.9773	51.8294	50.164	36.8463	46.8283	45.9067	44.1129	39.2503	52.4426	53.7677	42.6994	52.7358
AT1G01471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	1.51878	0.707882	0.356202	1.02323	1.697479	1.121576	0.664288	1.484216	1.2246	0.634046	1.088493	0.978448	0.729284	0.763236
AT1G01490	68.8917	103.1252	98.27014	99.4289	80.54296	92.3209	113.9722	90.3011	88.5231	107.7862	87.9132	89.2448	80.671	86.3523
AT1G01500	4.43932	3.26198	3.73014	2.69904	2.7683	2.90155	1.61272	3.11863	2.98282	3.29018	3.39407	3.64843	3.14215	3.78106
AT1G01510	25.0286	36.9683	34.4809	30.8851	27.3889	34.2456	29.1944	32.5572	31.4512	27.9714	30.6283	29.7249	33.1082	28.3152
AT1G01520	7.61866	9.82075	7.89622	6.70971	10.0835	8.24162	8.78997	8.80463	9.56565	11.1157	9.37324	12.4317	11.7486	12.031
AT1G01530	0	0	0.492459	0	0	0	0	0	0	0	0	0.158532	0.171162	0
AT1G01540	49.94949	60.36714	60.56118	63.90957	58.27792	67.18801	63.99044	56.789752	59.99712	61.40768	56.32006	54.154158	61.13455	54.14359
AT1G01550	90.3434	119.6312	123.6806	112.6655	105.31544	105.24938	111.6214	111.1162	110.4476	107.3947	109.1036	118.0664	102.9938	96.6064
AT1G01560	0.380636	0	0	0.117036	0.269712	0	0.341359	0.067643	0.0454421	0.266195531	0.274537	0.443142	0.259474	0.0913288
AT1G01570	0.938936	1.3395	2.17037	2.33564	2.31888	1.60102	1.11302	2.24984	1.84645	1.47289	1.86395	2.13641	1.351	2.35085
AT1G01580	53.7118	73.1451	79.2868	122.076	103.225	89.5934	53.8903	98.5216	99.588	31.6585	125.331	80.9019	49.8715	62.4942
AT1G01590	0	0	0	0	0	0	0.197629	0.0829106	0	0	0	0	0	0
