Gene	ZT0_effect.size	ZT0_p.value	ZT0_q.value	ZT0_Mean	ZT0_CV2	ZT0_TechNoise	ZT0_BioVar	ZT0_Stable	ZT0_Type
AT1G80510	-0.047711045	0.999996668	0.999999999	9.5	0.004687833	0.052398878	-0.047711045	-0.001276074	Stable
AT2G22270	-0.047711045	0.999996668	0.999999999	9.5	0.004687833	0.052398878	-0.047711045	-0.001276074	Stable
AT2G46920	-0.047711045	0.999996668	0.999999999	9.5	0.004687833	0.052398878	-0.047711045	-0.001276074	Stable
AT5G14850	-0.046063576	0.99999679	0.999999999	9.857142857	0.004523936	0.050587513	-0.046063576	-0.001267459	Stable
AT3G03720	-0.022928248	0.99999918	0.999999999	21	0.002093145	0.025021393	-0.022928248	-0.001263382	Stable
AT5G04990	-0.022928248	0.99999918	0.999999999	21	0.002093145	0.025021393	-0.022928248	-0.001263382	Stable
AT3G17750	-0.037205406	0.999997539	0.999999999	12.35714286	0.003634242	0.040839648	-0.037205406	-0.001228785	Stable
AT2G39550	-0.021614915	0.999999122	0.999999999	22.35714286	0.00203361	0.023648525	-0.021614915	-0.001192167	Stable
AT3G04590	-0.021018997	0.999999014	0.999999999	23	0.002035771	0.023054768	-0.021018997	-0.001133458	Stable
AT4G06634	-0.03670809	0.999997143	0.999999999	12.5	0.003692308	0.040400397	-0.03670809	-0.001128886	Stable
AT3G63250	-0.014782087	0.999999607	0.999999999	34.5	0.001389495	0.016171582	-0.014782087	-0.001124193	Stable
AT3G26000	-0.019750934	0.999999086	0.999999999	24.64285714	0.001927197	0.021678131	-0.019750934	-0.001110924	Stable
AT2G44270	-0.024756498	0.999998481	0.999999999	19.14285714	0.002459002	0.0272155	-0.024756498	-0.001106487	Stable
AT5G46550	-0.030141498	0.999997731	0.999999999	15.42857143	0.00304685	0.033188348	-0.030141498	-0.001087482	Stable
AT2G39940	-0.019931531	0.99999899	0.999999999	24.35714286	0.001972675	0.021904206	-0.019931531	-0.001086977	Stable
AT2G40316	-0.018246465	0.99999918	0.999999999	26.92857143	0.001795768	0.020042233	-0.018246465	-0.001086553	Stable
AT1G58100	-0.017698402	0.999999194	0.999999999	27.85714286	0.00175593	0.019454332	-0.017698402	-0.001070401	Stable
AT2G41000	-0.040347139	0.999996426	0.999999999	11.28571429	0.004141348	0.044488487	-0.040347139	-0.001069188	Stable
AT1G12280	-0.051987391	0.999995224	0.999999999	8.642857143	0.005369537	0.057356927	-0.051987391	-0.001066565	Stable
AT5G40270	-0.051987391	0.999995224	0.999999999	8.642857143	0.005369537	0.057356927	-0.051987391	-0.001066565	Stable
AT4G21800	-0.019858414	0.999998927	0.999999999	24.42857143	0.001988778	0.021847192	-0.019858414	-0.001065444	Stable
AT1G33250	-0.015423318	0.999999401	0.999999999	32.64285714	0.001531471	0.016954789	-0.015423318	-0.001056808	Stable
AT2G36840	-0.082445263	0.999992832	0.999999999	5.357142857	0.008615385	0.091060648	-0.082445263	-0.001030595	Stable
AT2G43945	-0.008072982	0.999999912	0.999999999	73.57142857	0.00078772	0.008860703	-0.008072982	-0.001029693	Stable
AT5G19280	-0.027085967	0.999997821	0.999999999	17.28571429	0.002795101	0.029881068	-0.027085967	-0.001024252	Stable
AT1G02010	-0.055427932	0.999994467	0.999999999	8.071428571	0.005819382	0.061247315	-0.055427932	-0.000987232	Stable
AT1G79010	-0.005476516	0.999999971	0.999999999	130.7142857	0.000562113	0.006038629	-0.005476516	-0.000986531	Stable
AT5G10490	-0.020418127	0.999998545	0.999999999	23.57142857	0.002136046	0.022554173	-0.020418127	-0.000985508	Stable
AT1G11380	-0.024548571	0.999997956	0.999999999	19.21428571	0.002574698	0.027123269	-0.024548571	-0.000982008	Stable
AT3G22990	-0.023051621	0.999998059	0.999999999	20.57142857	0.002440943	0.025492563	-0.023051621	-0.000960458	Stable
AT3G60410	-0.023051621	0.999998059	0.999999999	20.57142857	0.002440943	0.025492563	-0.023051621	-0.000960458	Stable
AT3G46450	-0.022751251	0.999998031	0.999999999	20.85714286	0.002425047	0.025176298	-0.022751251	-0.000946233	Stable
AT2G27210	-0.040954967	0.99999561	0.999999999	11.07142857	0.004348035	0.045303002	-0.040954967	-0.000940074	Stable
AT5G23520	-0.040954967	0.99999561	0.999999999	11.07142857	0.004348035	0.045303002	-0.040954967	-0.000940074	Stable
AT5G53310	-0.012748653	0.999999367	0.999999999	40.5	0.001383466	0.014132119	-0.012748653	-0.000935987	Stable
AT3G63080	-0.011840936	0.99999947	0.999999999	44.28571429	0.001288722	0.013129658	-0.011840936	-0.000935259	Stable
AT1G28200	-0.014685996	0.999999082	0.999999999	34.21428571	0.001600546	0.016286541	-0.014685996	-0.000924091	Stable
AT1G48540	-0.037493415	0.999995779	0.999999999	12.14285714	0.004024488	0.041517903	-0.037493415	-0.000903136	Stable
AT3G04740	-0.037493415	0.999995779	0.999999999	12.14285714	0.004024488	0.041517903	-0.037493415	-0.000903136	Stable
AT5G67250	-0.015287949	0.999998874	0.999999999	32.57142857	0.001698748	0.016986696	-0.015287949	-0.00089257	Stable
